source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,canonical_accession,measurement_batch_id,biological_unit_id,condition_label,analysis_candidate_eligible,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,115,I115,Q14247,Q14247,R4_PMC11544298_data_1_PE_10_Rep_1,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,6.6699999999999995e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,115,J115,Q14247,Q14247,R4_PMC11544298_data_1_PE_10_Rep_2,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,6.7399999999999998e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,115,K115,Q14247,Q14247,R4_PMC11544298_data_1_PE_10_Rep_3,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,6.7399999999999998e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,133,I133,O00151,O00151,R4_PMC11544298_data_1_PE_10_Rep_1,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,9.59e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,133,J133,O00151,O00151,R4_PMC11544298_data_1_PE_10_Rep_2,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,9.5500000000000004e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,133,K133,O00151,O00151,R4_PMC11544298_data_1_PE_10_Rep_3,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,9.4099999999999997e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,134,I134,Q9NY65,Q9NY65,R4_PMC11544298_data_1_PE_10_Rep_1,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,1.0200000000000001e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,134,J134,Q9NY65,Q9NY65,R4_PMC11544298_data_1_PE_10_Rep_2,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,6.99e-06,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,134,K134,Q9NY65,Q9NY65,R4_PMC11544298_data_1_PE_10_Rep_3,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,1.08e-05,POSITIVE_FINITE,true
PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,data_1,Supp Data 1,135,I135,Q9H4B7,Q9H4B7,R4_PMC11544298_data_1_PE_10_Rep_1,POOLED_HUMAN_PLASMA,PE_10,true,NORMALIZED_INTENSITY,0.000130789,POSITIVE_FINITE,true
