analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell,protein_source_identifier,result_unit_id,particle,assay_replicate,author_reported_lfq,author_value_state
PXD017052:Sheet1:5:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BO5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1066_A_MSB37240A,SP-003-001,2,128830000,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BP5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1067_A_MSB37241A,SP-003-001,1,0,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BQ5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1068_A_MSB37242A,SP-003-001,3,0,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BR5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1108_A_MSB37282A,SP-007-002,1,222660000,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BS5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1109_A_MSB37283A,SP-007-002,3,138280000,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BT5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1110_B_MSB37284B,SP-007-002,2,0,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BU5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1114_A_MSB37288A,SP-011-001,3,186040000,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BV5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1115_A_MSB37289A,SP-011-001,2,305530000,NUMERIC
PXD017052:Sheet1:5:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,5,Sheet1!BW5,A0A024R6I7;A0A0G2JRN3;A0A0G2JPK4;P20848,EXP18102_X1116_A_MSB37290A,SP-011-001,1,165260000,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BO6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1066_A_MSB37240A,SP-003-001,2,160360000,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BP6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1067_A_MSB37241A,SP-003-001,1,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BQ6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1068_A_MSB37242A,SP-003-001,3,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BR6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1108_A_MSB37282A,SP-007-002,1,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BS6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1109_A_MSB37283A,SP-007-002,3,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BT6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1110_B_MSB37284B,SP-007-002,2,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BU6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1114_A_MSB37288A,SP-011-001,3,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BV6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1115_A_MSB37289A,SP-011-001,2,0,NUMERIC
PXD017052:Sheet1:6:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,6,Sheet1!BW6,H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1,EXP18102_X1116_A_MSB37290A,SP-011-001,1,0,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BO7,A0A075B6I0,EXP18102_X1066_A_MSB37240A,SP-003-001,2,33157000,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BP7,A0A075B6I0,EXP18102_X1067_A_MSB37241A,SP-003-001,1,33967000,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BQ7,A0A075B6I0,EXP18102_X1068_A_MSB37242A,SP-003-001,3,29607000,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BR7,A0A075B6I0,EXP18102_X1108_A_MSB37282A,SP-007-002,1,0,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BS7,A0A075B6I0,EXP18102_X1109_A_MSB37283A,SP-007-002,3,0,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BT7,A0A075B6I0,EXP18102_X1110_B_MSB37284B,SP-007-002,2,0,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BU7,A0A075B6I0,EXP18102_X1114_A_MSB37288A,SP-011-001,3,0,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BV7,A0A075B6I0,EXP18102_X1115_A_MSB37289A,SP-011-001,2,0,NUMERIC
PXD017052:Sheet1:7:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,7,Sheet1!BW7,A0A075B6I0,EXP18102_X1116_A_MSB37290A,SP-011-001,1,0,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BO8,A0A075B6K4,EXP18102_X1066_A_MSB37240A,SP-003-001,2,62705000,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BP8,A0A075B6K4,EXP18102_X1067_A_MSB37241A,SP-003-001,1,79441000,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BQ8,A0A075B6K4,EXP18102_X1068_A_MSB37242A,SP-003-001,3,67449000,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BR8,A0A075B6K4,EXP18102_X1108_A_MSB37282A,SP-007-002,1,63268000,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BS8,A0A075B6K4,EXP18102_X1109_A_MSB37283A,SP-007-002,3,120560000,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BT8,A0A075B6K4,EXP18102_X1110_B_MSB37284B,SP-007-002,2,0,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BU8,A0A075B6K4,EXP18102_X1114_A_MSB37288A,SP-011-001,3,0,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BV8,A0A075B6K4,EXP18102_X1115_A_MSB37289A,SP-011-001,2,0,NUMERIC
PXD017052:Sheet1:8:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,8,Sheet1!BW8,A0A075B6K4,EXP18102_X1116_A_MSB37290A,SP-011-001,1,0,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BO9,A0A075B6K5,EXP18102_X1066_A_MSB37240A,SP-003-001,2,12089000,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BP9,A0A075B6K5,EXP18102_X1067_A_MSB37241A,SP-003-001,1,14797000,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BQ9,A0A075B6K5,EXP18102_X1068_A_MSB37242A,SP-003-001,3,10224000,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BR9,A0A075B6K5,EXP18102_X1108_A_MSB37282A,SP-007-002,1,7754200,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BS9,A0A075B6K5,EXP18102_X1109_A_MSB37283A,SP-007-002,3,7040800,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BT9,A0A075B6K5,EXP18102_X1110_B_MSB37284B,SP-007-002,2,0,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BU9,A0A075B6K5,EXP18102_X1114_A_MSB37288A,SP-011-001,3,0,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1115_A_MSB37289A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BV9,A0A075B6K5,EXP18102_X1115_A_MSB37289A,SP-011-001,2,0,NUMERIC
PXD017052:Sheet1:9:EXP18102_X1116_A_MSB37290A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,9,Sheet1!BW9,A0A075B6K5,EXP18102_X1116_A_MSB37290A,SP-011-001,1,0,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1066_A_MSB37240A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BO10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1066_A_MSB37240A,SP-003-001,2,26876000,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1067_A_MSB37241A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BP10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1067_A_MSB37241A,SP-003-001,1,0,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1068_A_MSB37242A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BQ10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1068_A_MSB37242A,SP-003-001,3,45765000,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1108_A_MSB37282A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BR10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1108_A_MSB37282A,SP-007-002,1,0,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1109_A_MSB37283A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BS10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1109_A_MSB37283A,SP-007-002,3,0,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1110_B_MSB37284B,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BT10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1110_B_MSB37284B,SP-007-002,2,14488000,NUMERIC
PXD017052:Sheet1:10:EXP18102_X1114_A_MSB37288A,10.1038/s41467-020-17033-7,PMC7376165,CC-BY-4.0,supplementary_data_2_lfq,Sheet1,10,Sheet1!BU10,A0A075B6P5;A0A075B6S6;P06310,EXP18102_X1114_A_MSB37288A,SP-011-001,3,25327000,NUMERIC
