model_id,external_observation_count,external_measurement_batch_count,biological_unit_count,primary_metric_status,subject_equal_mean_spearman,subject_equal_mean_mae,subject_equal_mean_rmse,measurement_batch_count,batch_weighted_mean_spearman,subject_equal_mean_spearman_lower_95,subject_equal_mean_spearman_upper_95,subject_equal_mean_mae_lower_95,subject_equal_mean_mae_upper_95,subject_equal_mean_rmse_lower_95,subject_equal_mean_rmse_upper_95
CONSTANT_TRAINING_MEAN,17026,666,141.0,UNDEFINED_CONSTANT_PREDICTION,,0.26191858855402644,0.3023817737547537,666.0,,,,0.2613485976427757,0.26251464980116707,0.3017309384157418,0.30302358358494397
SEQUENCE_RIDGE_FULL,17026,666,141.0,DEFINED,0.06845095132727338,0.2654294385850904,0.3076074864714099,666.0,0.07686107364146154,0.05253125684564063,0.08293250366485762,0.26401470564685675,0.2670052230718457,0.3061006081290589,0.3092115134791188
SEQUENCE_RIDGE_COMPOSITION_ONLY,17026,666,141.0,DEFINED,0.039172406866206384,0.26983487613112633,0.31213473195105174,666.0,0.050049650340165654,0.021322972902945065,0.05493259622962822,0.2683422527210827,0.2714440559402035,0.31054784601889585,0.3137305205491254
