model_id,measurement_batch_id,protein_count,spearman,mae,rmse,biological_unit_id,spearman_status
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0040_Early:SP-333,21,,0.262539217358658,0.30305805390799323,001-0040,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0040_Early:SP-339,28,,0.25925925925925924,0.29947235299997166,001-0040,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0041_Healthy:SP-003,32,,0.25806451612903225,0.2981395558982208,001-0041,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0041_Healthy:SP-006,31,,0.2584943085332844,0.2984399541963548,001-0041,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0041_Healthy:SP-007,31,,0.2584943085332844,0.2984399541963548,001-0041,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0041_Healthy:SP-333,16,,0.26666666666666666,0.3076068299246262,001-0041,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0041_Healthy:SP-339,29,,0.25908012291489024,0.29910404821323927,001-0041,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0044_Healthy:SP-003,32,,0.25806451612903225,0.2981395558982208,001-0044,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0044_Healthy:SP-006,34,,0.25757575757575757,0.29759260030395895,001-0044,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0044_Healthy:SP-007,26,,0.26,0.3002957165392698,001-0044,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0044_Healthy:SP-333,16,,0.26666666666666666,0.30760682992462623,001-0044,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0044_Healthy:SP-339,25,,0.2605329425812727,0.30075786797623644,001-0044,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0048_Early:SP-003,32,,0.25806451612903225,0.2981395558982208,001-0048,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0048_Early:SP-006,29,,0.25908012291489024,0.29910404821323927,001-0048,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0048_Early:SP-007,28,,0.25925925925925924,0.29947235299997166,001-0048,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0048_Early:SP-333,16,,0.26666666666666666,0.3076068299246262,001-0048,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0048_Early:SP-339,30,,0.25862068965517243,0.29876073560953154,001-0048,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0051_Healthy:SP-003,33,,0.2579795019555096,0.29785765734407454,001-0051,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0051_Healthy:SP-006,34,,0.25757575757575757,0.2975926003039589,001-0051,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0051_Healthy:SP-007,32,,0.25806451612903225,0.2981395558982208,001-0051,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0051_Healthy:SP-333,25,,0.2605329425812727,0.30075786797623644,001-0051,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0051_Healthy:SP-339,32,,0.25806451612903225,0.2981395558982208,001-0051,UNDEFINED_CONSTANT_PREDICTION
CONSTANT_TRAINING_MEAN,R4_PXD017052_NSCLC:001-0052_Healthy:SP-003,32,,0.25806451612903225,0.2981395558982208,001-0052,UNDEFINED_CONSTANT_PREDICTION
