model_id,biological_unit_id,spearman,mae,rmse
CONSTANT_TRAINING_MEAN,001-0010,,0.2595005042389106,0.2996892792045293
CONSTANT_TRAINING_MEAN,001-0018,,0.2595619050615766,0.2996867171910319
CONSTANT_TRAINING_MEAN,001-0025,,0.2601682579451047,0.30035384505756524
CONSTANT_TRAINING_MEAN,001-0031,,0.2608739845182984,0.3011765175409816
CONSTANT_TRAINING_MEAN,001-0033,,0.25982161419515293,0.30000343621167375
CONSTANT_TRAINING_MEAN,001-0035,,0.2599290912275546,0.3001338922644735
CONSTANT_TRAINING_MEAN,001-0040,,0.2592503578124442,0.29933713515849375
CONSTANT_TRAINING_MEAN,001-0041,,0.2601599845554316,0.3003460684857592
CONSTANT_TRAINING_MEAN,001-0044,,0.26056797659054587,0.30087851412846245
CONSTANT_TRAINING_MEAN,001-0048,,0.2603382509250042,0.30061670452911793
CONSTANT_TRAINING_MEAN,001-0051,,0.2584434468741209,0.29849744748414225
CONSTANT_TRAINING_MEAN,001-0052,,0.26077329071534544,0.3011275773412356
CONSTANT_TRAINING_MEAN,001-0057,,0.25997460434034786,0.3002099159723971
CONSTANT_TRAINING_MEAN,001-0060,,0.2607348499214546,0.301006943157065
CONSTANT_TRAINING_MEAN,001-0061,,0.2624073373113833,0.3030083666130164
CONSTANT_TRAINING_MEAN,001-0062,,0.2610487989009827,0.30133020632179963
CONSTANT_TRAINING_MEAN,001-0066,,0.2604380573496557,0.3007488398883383
CONSTANT_TRAINING_MEAN,001-0068,,0.26241255434812577,0.3028802715313218
CONSTANT_TRAINING_MEAN,003-0004,,0.2691492211336967,0.31031818946309014
CONSTANT_TRAINING_MEAN,003-0006,,0.2607207015102242,0.30101613100245883
CONSTANT_TRAINING_MEAN,004-0003,,0.26036700950206626,0.3006005377180858
CONSTANT_TRAINING_MEAN,005-0002,,0.2623965371228363,0.30298535112859326
CONSTANT_TRAINING_MEAN,005-0018,,0.2582277036457017,0.29821111207845125
CONSTANT_TRAINING_MEAN,005-0019,,0.2604369439956102,0.30069593053536026
CONSTANT_TRAINING_MEAN,005-0020,,0.26770634927804005,0.3090974212893828
CONSTANT_TRAINING_MEAN,005-0024,,0.2632597638055465,0.3040014037292994
CONSTANT_TRAINING_MEAN,005-0029,,0.26061394441124397,0.3008642691883897
CONSTANT_TRAINING_MEAN,005-0032,,0.25979903208815724,0.2999923750756941
CONSTANT_TRAINING_MEAN,005-0033,,0.26060447999385417,0.300853147086472
CONSTANT_TRAINING_MEAN,005-0041,,0.25970445131883174,0.2998706174082968
CONSTANT_TRAINING_MEAN,005-0051,,0.25947693379452863,0.29963328836844483
CONSTANT_TRAINING_MEAN,005-0056,,0.26218505373005585,0.3026046469463652
CONSTANT_TRAINING_MEAN,007-0003,,0.26098430751816554,0.3013336800853902
CONSTANT_TRAINING_MEAN,007-0012,,0.25948115618562617,0.29963370578300874
CONSTANT_TRAINING_MEAN,007-0015,,0.2600740260745812,0.3002859888261324
CONSTANT_TRAINING_MEAN,007-0017,,0.25863664525164654,0.298740530970354
CONSTANT_TRAINING_MEAN,007-0024,,0.2614529233964963,0.3017950875145053
CONSTANT_TRAINING_MEAN,007-0025,,0.2593805450782893,0.29952856141481454
CONSTANT_TRAINING_MEAN,007-0026,,0.2608856839103512,0.30117775189447193
CONSTANT_TRAINING_MEAN,007-0027,,0.260263784848601,0.3005359644315922
CONSTANT_TRAINING_MEAN,009-0006,,0.25828646192037313,0.2983497356077417
CONSTANT_TRAINING_MEAN,009-0008,,0.25814695476975125,0.2981581006704281
CONSTANT_TRAINING_MEAN,009-0011,,0.25891049871735194,0.2989528998135285
CONSTANT_TRAINING_MEAN,009-0016,,0.25972615420233786,0.2998762250152936
