outer_fold_id,held_out_source_id,model_id,metric,estimate,lower_95,upper_95,measurement_batch_cluster_count,observation_count,resamples,seed,defined_status
T238_OUTER_03,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,SEQUENCE_RIDGE_FULL,spearman,0.9261904761904761,0.8988095238095238,0.9523809523809524,6,40,2000,25802,DEFINED
T238_OUTER_03,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,SEQUENCE_RIDGE_FULL,mae,0.16682417601003366,0.14668121516904264,0.1897477007783307,6,40,2000,25802,DEFINED
T238_OUTER_03,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,SEQUENCE_RIDGE_FULL,rmse,0.20032155941193563,0.18486927496766514,0.2200927470544287,6,40,2000,25802,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,CONSTANT_TRAINING_MEAN,spearman,,,,30,244,2000,25901,UNDEFINED_CONSTANT_PREDICTION
T238_OUTER_04,PXD064962_UCD_EVENT,CONSTANT_TRAINING_MEAN,mae,0.2630087352089243,0.24985638989340225,0.2778687561355969,30,244,2000,25901,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,CONSTANT_TRAINING_MEAN,rmse,0.2995843705993157,0.29027460844359304,0.3103451186209807,30,244,2000,25901,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_COMPOSITION_ONLY,spearman,0.686509578323097,0.6389722485502849,0.7358005073445124,30,244,2000,25903,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_COMPOSITION_ONLY,mae,0.17364593247001234,0.1546310454892269,0.19226887542820767,30,244,2000,25903,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_COMPOSITION_ONLY,rmse,0.20915122990380342,0.18744407909223135,0.23077581159464045,30,244,2000,25903,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_FULL,spearman,0.686509578323097,0.6388239304255571,0.7360412559065503,30,244,2000,25902,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_FULL,mae,0.17364375752603137,0.15452015390668375,0.1920815646084138,30,244,2000,25902,DEFINED
T238_OUTER_04,PXD064962_UCD_EVENT,SEQUENCE_RIDGE_FULL,rmse,0.20914906605657968,0.18801795158565204,0.23247777119497612,30,244,2000,25902,DEFINED
