target_observation_id,outer_fold_id,split_role,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_row,source_coordinate,source_identifier,author_numeric_value,source_local_rank_percentile,source_batch_positive_count,target_membership_basis,cross_source_scale_use,target_universe_count
T197_21907effb5439bc41701,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D3_85,PT_D3_85,protein_groups,149,LFQ intensity PT_D3_85_1_S1-E4_6679:149,P04004;CON__Q3ZBS7,2660800.0,0.72727272727272729,12,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_231bd29c67f59fc847db,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P26038,PT_D1_23,PT_D1_23,protein_groups,274,LFQ intensity PT_D1_23_1_S1-G1_6687:274,P26038;P35241;P15311,18411.0,0.21428571428571427,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_25e8e6dda55dae95ab38,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_33,PT_D1_33,protein_groups,160,LFQ intensity PT_D1_33_1_S1-A2_6643:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,407610.0,0.75,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_267a0608a9bcbeff9336,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D3_06,PT_D3_06,protein_groups,149,LFQ intensity PT_D3_06_1_S1-E5_6681:149,P04004;CON__Q3ZBS7,2930700.0,1,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_27387502e4c5a43ee54d,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D3_14,PT_D3_14,protein_groups,149,LFQ intensity PT_D3_14_2_S1-D5_6666:149,P04004;CON__Q3ZBS7,1689800.0,0.80000000000000004,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_276203ed8a7715c104ed,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,T_D3_119b,T_D3_119b,protein_groups,51,LFQ intensity T_D3_119b_2_S1-B8_6656:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,114.2,0,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_286dd46398d46f42ffae,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,T_D3_178,T_D3_178,protein_groups,149,LFQ intensity T_D3_178_1_S1-C7_6669:149,P04004;CON__Q3ZBS7,2281400.0,0.8571428571428571,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_291e7101e3644bd66a53,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_23,PT_D1_23,protein_groups,385,LFQ intensity PT_D1_23_1_S1-G1_6687:385,Q9HDC9,28294.0,0.42857142857142855,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_293cc533f075a198af3b,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,T_D3_119a,T_D3_119a,protein_groups,202,LFQ intensity T_D3_119a_1_S1-E7_6685:202,P07996;CON__Q28194;P35442,20484.0,0.30769230769230771,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_29f024be8e84d6fd1318,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_51,PT_D1_51,protein_groups,385,LFQ intensity PT_D1_51_2_S1-H2_6690:385,Q9HDC9,38624.0,0.375,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2a1ca6b6e870523c6129,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_73,PT_D1_73,protein_groups,51,LFQ intensity PT_D1_73_2_S1-B3_6646:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,518.21,0.066666666666666666,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2c7afa5f317fd7996e0c,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,T_D1_133,T_D1_133,protein_groups,385,LFQ intensity T_D1_133_2_S1-B6_6652:385,Q9HDC9,37931.0,0.59999999999999998,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2ca09f31bd0c24010dc4,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,T_D3_155,T_D3_155,protein_groups,385,LFQ intensity T_D3_155_1_S1-G7_6699:385,Q9HDC9,34475.0,0.36363636363636365,12,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2d0eda4f2f17b0a7a418,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D3_96,PT_D3_96,protein_groups,51,LFQ intensity PT_D3_96_2_S1-B4_6648:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,332.47,0,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2d375863433cfed1a6de,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D3_28,PT_D3_28,protein_groups,160,LFQ intensity PT_D3_28_1_S1-A5_6649:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,402630.0,0.66666666666666663,13,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2d9d983251e94e58f706,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_20,PT_D1_20,protein_groups,178,LFQ intensity PT_D1_20_1_S1-E1_6673:178,P06396;CON__Q3SX14,2257000.0,0.72727272727272729,12,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2de7397a836a0b74084d,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P26038,T_D3_119a,T_D3_119a,protein_groups,274,LFQ intensity T_D3_119a_2_S1-F7_6686:274,P26038;P35241;P15311,14402.0,0.15384615384615385,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_2fd5a5b2acdc8a15b452,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_51,PT_D1_51,protein_groups,202,LFQ intensity PT_D1_51_2_S1-H2_6690:202,P07996;CON__Q28194;P35442,59381.0,0.5625,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_303406878c03e52100ce,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D3_41,PT_D3_41,protein_groups,149,LFQ intensity PT_D3_41_1_S1-G3_6691:149,P04004;CON__Q3ZBS7,2331300.0,0.82352941176470584,18,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
