outer_fold_id,held_out_source_id,paired_measurement_batch_count,full_minus_composition_mean_spearman,resamples,seed,lower_95,upper_95
T197_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,49,0.0,2000,1983,0.0,0.0
T197_OUTER_02,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,6,0.004761904761904745,2000,1983,-0.022222222222222216,0.03412698412698408
T197_OUTER_03,PXD064962_UCD_EVENT,30,-0.0001053375818818129,2000,1983,-0.0003160127456454387,0.0
