outer_fold_id,held_out_core,model_id,alpha,held_out_inner_batch_id,spearman,selected_alpha
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,1.0,PMC9633814_CORE_FACILITY_8,0.5046558704453441,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,1.0,PMC9633814_CORE_FACILITY_9,0.30226480836236935,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,1.0,__MEAN__,0.41583845838235917,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_10,0.336996336996337,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_11,0.3257099294835144,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_12,0.46429563767713256,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_2,0.2666543982333456,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_3,0.5074810052600818,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_4,0.35614385614385613,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_5,0.509409474367294,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_6,0.4646153846153846,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_7,0.5163800904977376,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_8,0.5097165991902834,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,PMC9633814_CORE_FACILITY_9,0.3121951219512195,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,10.0,__MEAN__,0.41541798494692606,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_10,0.351510989010989,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_11,0.30062893081761005,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_12,0.47190886357321477,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_2,0.2727272727272727,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_3,0.5102279368790181,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_4,0.3575109101424891,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_5,0.4848646791617361,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_6,0.4536651583710407,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_7,0.4872398190045249,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_8,0.5002024291497976,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,PMC9633814_CORE_FACILITY_9,0.3057491289198606,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_FULL,100.0,__MEAN__,0.4087487379779595,0.1
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_10,0.2582875457875458,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_11,0.24200495521250237,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_12,0.45184773548207835,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_2,0.2413376097586624,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_3,0.4687317358270017,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_4,0.2615542352384458,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_5,0.47486353399244186,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_6,0.3644343891402715,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_7,0.5339366515837104,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_8,0.4811740890688259,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,PMC9633814_CORE_FACILITY_9,0.3696864111498258,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.01,__MEAN__,0.37707808111284646,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_10,0.2582875457875458,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_11,0.24200495521250237,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_12,0.45184773548207835,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_2,0.2413376097586624,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_3,0.4687317358270017,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_4,0.2615542352384458,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_5,0.47486353399244186,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_6,0.3644343891402715,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_7,0.5339366515837104,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_8,0.4811740890688259,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,PMC9633814_CORE_FACILITY_9,0.3696864111498258,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,0.1,__MEAN__,0.37707808111284646,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_10,0.2586538461538462,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_11,0.24139508290451686,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_12,0.45368157821617117,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_2,0.24075924075924077,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_3,0.4687317358270017,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_4,0.261895998738104,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_5,0.4757796694277971,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_6,0.3631674208144796,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_7,0.5306787330316742,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_8,0.48097165991902835,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,PMC9633814_CORE_FACILITY_9,0.36341463414634145,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,1.0,__MEAN__,0.376284509085291,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_10,0.26355311355311356,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_11,0.23689727463312368,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_12,0.4597943873298138,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_2,0.2400757137599243,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_3,0.4663939216832262,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_4,0.2629738682370261,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_5,0.4783753864946368,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_6,0.3546606334841629,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_7,0.5244343891402715,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_8,0.4755060728744939,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,PMC9633814_CORE_FACILITY_9,0.36341463414634145,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,10.0,__MEAN__,0.3750981268487395,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_10,0.27976190476190477,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_11,0.21265485039069945,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_12,0.46429563767713256,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_2,0.2418108207581892,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_3,0.45365283459964933,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_4,0.24467637625532362,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_5,0.46612207504676106,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_6,0.33638009049773754,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_7,0.5096832579185521,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_8,0.4680161943319838,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,PMC9633814_CORE_FACILITY_9,0.3280487804878049,0.01
T194_OUTER_01,PMC9633814_CORE_FACILITY_1,SEQUENCE_RIDGE_COMPOSITION_ONLY,100.0,__MEAN__,0.36410025661143075,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_1,0.55620498904081,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_11,0.3635220125786163,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_12,0.4331758821894971,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_2,0.3166833166833167,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_3,0.502863822326125,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_4,0.3799884326200116,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_5,0.4839103714165744,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_6,0.5466968325791856,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_7,0.4893212669683258,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_8,0.42894736842105263,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,PMC9633814_CORE_FACILITY_9,0.356794425087108,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.01,__MEAN__,0.4416462472646021,0.01
T194_OUTER_02,PMC9633814_CORE_FACILITY_10,SEQUENCE_RIDGE_FULL,0.1,PMC9633814_CORE_FACILITY_1,0.5586681974741676,0.01
