analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,source_condition_id,protein_source_identifier,quantification_column,author_reported_quantification
PMC7788026:Urea-PC:1440,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1440,Urea-PC!A1440:Q1440,PMC7788026:UREA_PC,Q9BY77,Top3_normalized_Urea,0.0057861800315296566
PMC7788026:Urea-PC:1441,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1441,Urea-PC!A1441:Q1441,PMC7788026:UREA_PC,P23919,Top3_normalized_Urea,0.0057387722539604009
PMC7788026:Urea-PC:1442,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1442,Urea-PC!A1442:Q1442,PMC7788026:UREA_PC,Q6P3X3,Top3_normalized_Urea,0.0056958216178720159
PMC7788026:Urea-PC:1443,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1443,Urea-PC!A1443:Q1443,PMC7788026:UREA_PC,O00203,Top3_normalized_Urea,0.0056929852551114626
PMC7788026:Urea-PC:1444,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1444,Urea-PC!A1444:Q1444,PMC7788026:UREA_PC,P36915,Top3_normalized_Urea,0.005673738507807705
PMC7788026:Urea-PC:1445,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1445,Urea-PC!A1445:Q1445,PMC7788026:UREA_PC,P61421,Top3_normalized_Urea,0.0056658372115461616
PMC7788026:Urea-PC:1446,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1446,Urea-PC!A1446:Q1446,PMC7788026:UREA_PC,Q9NS28,Top3_normalized_Urea,0.0056342320264999917
PMC7788026:Urea-PC:1447,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1447,Urea-PC!A1447:Q1447,PMC7788026:UREA_PC,P50993,Top3_normalized_Urea,0.0056336323383734746
PMC7788026:Urea-PC:1448,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1448,Urea-PC!A1448:Q1448,PMC7788026:UREA_PC,P20339,Top3_normalized_Urea,0.0056290657943289827
PMC7788026:Urea-PC:1449,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1449,Urea-PC!A1449:Q1449,PMC7788026:UREA_PC,Q9BZQ8,Top3_normalized_Urea,0.00562572293821833
