model_id,external_observation_count,external_measurement_batch_count,primary_metric_status,mean_spearman,mean_spearman_lower_95,mean_spearman_upper_95,mean_mae,mean_mae_lower_95,mean_mae_upper_95,mean_rmse,mean_rmse_lower_95,mean_rmse_upper_95
CONSTANT_TRAINING_MEAN,418,16,UNDEFINED_CONSTANT_PREDICTION,,,,0.26037819395556172,0.25943594212906751,0.2614760330481033,0.30066483692247276,0.29958643871361446,0.30191121229707285
SEQUENCE_RIDGE_FULL,418,16,DEFINED,0.024041858699437119,-0.025430223357604129,0.085414797708829343,0.26570971217538003,0.26108737643985708,0.26954469467373432,0.30605190564648416,0.30229191287327478,0.30920648351869862
SEQUENCE_RIDGE_COMPOSITION_ONLY,418,16,DEFINED,-0.029566433963444404,-0.069937246963534649,0.016711824407934076,0.27236263371599156,0.26792147247498771,0.27632419244131812,0.31257556776526491,0.30923439066489794,0.31548475548379507
