external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC13106918:183:LFQ intensity iST_4183:R4_PMC13106918_iST_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_iST_4,proteinGroups.txt,183,LFQ intensity iST_4183,LFQ_INTENSITY,305330000,1,31
R4PMC13106918:183:LFQ intensity Pmax_1183:R4_PMC13106918_Pmax_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Pmax_1,proteinGroups.txt,183,LFQ intensity Pmax_1183,LFQ_INTENSITY,327400000,1,30
R4PMC13106918:183:LFQ intensity Pmax_2183:R4_PMC13106918_Pmax_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Pmax_2,proteinGroups.txt,183,LFQ intensity Pmax_2183,LFQ_INTENSITY,312240000,1,17
R4PMC13106918:183:LFQ intensity Pmax_3183:R4_PMC13106918_Pmax_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Pmax_3,proteinGroups.txt,183,LFQ intensity Pmax_3183,LFQ_INTENSITY,306940000,1,29
R4PMC13106918:183:LFQ intensity RapiG_1183:R4_PMC13106918_RapiG_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_RapiG_1,proteinGroups.txt,183,LFQ intensity RapiG_1183,LFQ_INTENSITY,565310000,1,19
R4PMC13106918:183:LFQ intensity RapiG_2183:R4_PMC13106918_RapiG_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_RapiG_2,proteinGroups.txt,183,LFQ intensity RapiG_2183,LFQ_INTENSITY,495110000,1,29
R4PMC13106918:183:LFQ intensity RapiG_3183:R4_PMC13106918_RapiG_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_RapiG_3,proteinGroups.txt,183,LFQ intensity RapiG_3183,LFQ_INTENSITY,579210000,1,26
R4PMC13106918:183:LFQ intensity RapiG_4183:R4_PMC13106918_RapiG_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_RapiG_4,proteinGroups.txt,183,LFQ intensity RapiG_4183,LFQ_INTENSITY,496800000,1,26
R4PMC13106918:183:LFQ intensity STD_3183:R4_PMC13106918_STD_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_STD_3,proteinGroups.txt,183,LFQ intensity STD_3183,LFQ_INTENSITY,478900000,1,21
R4PMC13106918:183:LFQ intensity Strap_1183:R4_PMC13106918_Strap_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Strap_1,proteinGroups.txt,183,LFQ intensity Strap_1183,LFQ_INTENSITY,601220000,1,22
R4PMC13106918:183:LFQ intensity Strap_2183:R4_PMC13106918_Strap_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Strap_2,proteinGroups.txt,183,LFQ intensity Strap_2183,LFQ_INTENSITY,652350000,1,26
R4PMC13106918:183:LFQ intensity Strap_3183:R4_PMC13106918_Strap_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Strap_3,proteinGroups.txt,183,LFQ intensity Strap_3183,LFQ_INTENSITY,484470000,1,23
R4PMC13106918:183:LFQ intensity Strap_4183:R4_PMC13106918_Strap_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P04004,R4_PMC13106918_Strap_4,proteinGroups.txt,183,LFQ intensity Strap_4183,LFQ_INTENSITY,471970000,1,24
R4PMC13106918:197:LFQ intensity iST_1197:R4_PMC13106918_iST_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P05023,R4_PMC13106918_iST_1,proteinGroups.txt,197,LFQ intensity iST_1197,LFQ_INTENSITY,1821200,0,33
R4PMC13106918:197:LFQ intensity iST_2197:R4_PMC13106918_iST_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P05023,R4_PMC13106918_iST_2,proteinGroups.txt,197,LFQ intensity iST_2197,LFQ_INTENSITY,2061600,0.032258064516129031,32
R4PMC13106918:197:LFQ intensity iST_4197:R4_PMC13106918_iST_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P05023,R4_PMC13106918_iST_4,proteinGroups.txt,197,LFQ intensity iST_4197,LFQ_INTENSITY,1400300,0,31
R4PMC13106918:197:LFQ intensity Pmax_1197:R4_PMC13106918_Pmax_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P05023,R4_PMC13106918_Pmax_1,proteinGroups.txt,197,LFQ intensity Pmax_1197,LFQ_INTENSITY,1681400,0,30
R4PMC13106918:197:LFQ intensity Pmax_3197:R4_PMC13106918_Pmax_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P05023,R4_PMC13106918_Pmax_3,proteinGroups.txt,197,LFQ intensity Pmax_3197,LFQ_INTENSITY,2801500,0,29
R4PMC13106918:214:LFQ intensity iST_1214:R4_PMC13106918_iST_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_iST_1,proteinGroups.txt,214,LFQ intensity iST_1214,LFQ_INTENSITY,14393000,0.8125,33
R4PMC13106918:214:LFQ intensity iST_2214:R4_PMC13106918_iST_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_iST_2,proteinGroups.txt,214,LFQ intensity iST_2214,LFQ_INTENSITY,9569100,0.54838709677419351,32
R4PMC13106918:214:LFQ intensity iST_3214:R4_PMC13106918_iST_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_iST_3,proteinGroups.txt,214,LFQ intensity iST_3214,LFQ_INTENSITY,17374000,0.86206896551724133,30
R4PMC13106918:214:LFQ intensity iST_4214:R4_PMC13106918_iST_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_iST_4,proteinGroups.txt,214,LFQ intensity iST_4214,LFQ_INTENSITY,9637600,0.59999999999999998,31
R4PMC13106918:214:LFQ intensity Pmax_1214:R4_PMC13106918_Pmax_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_Pmax_1,proteinGroups.txt,214,LFQ intensity Pmax_1214,LFQ_INTENSITY,7427200,0.37931034482758619,30
R4PMC13106918:214:LFQ intensity Pmax_3214:R4_PMC13106918_Pmax_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_Pmax_3,proteinGroups.txt,214,LFQ intensity Pmax_3214,LFQ_INTENSITY,6482400,0.2857142857142857,29
R4PMC13106918:214:LFQ intensity RapiG_1214:R4_PMC13106918_RapiG_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_RapiG_1,proteinGroups.txt,214,LFQ intensity RapiG_1214,LFQ_INTENSITY,6995800,0.55555555555555558,19
R4PMC13106918:214:LFQ intensity RapiG_2214:R4_PMC13106918_RapiG_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_RapiG_2,proteinGroups.txt,214,LFQ intensity RapiG_2214,LFQ_INTENSITY,11899000,0.7857142857142857,29
R4PMC13106918:214:LFQ intensity RapiG_3214:R4_PMC13106918_RapiG_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_RapiG_3,proteinGroups.txt,214,LFQ intensity RapiG_3214,LFQ_INTENSITY,11602000,0.83999999999999997,26
R4PMC13106918:214:LFQ intensity RapiG_4214:R4_PMC13106918_RapiG_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_RapiG_4,proteinGroups.txt,214,LFQ intensity RapiG_4214,LFQ_INTENSITY,5964600,0.52000000000000002,26
R4PMC13106918:214:LFQ intensity STD_3214:R4_PMC13106918_STD_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_STD_3,proteinGroups.txt,214,LFQ intensity STD_3214,LFQ_INTENSITY,6403200,0.55000000000000004,21
R4PMC13106918:214:LFQ intensity Strap_1214:R4_PMC13106918_Strap_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_Strap_1,proteinGroups.txt,214,LFQ intensity Strap_1214,LFQ_INTENSITY,10230000,0.8571428571428571,22
R4PMC13106918:214:LFQ intensity Strap_2214:R4_PMC13106918_Strap_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_Strap_2,proteinGroups.txt,214,LFQ intensity Strap_2214,LFQ_INTENSITY,7815300,0.71999999999999997,26
R4PMC13106918:214:LFQ intensity Strap_3214:R4_PMC13106918_Strap_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_Strap_3,proteinGroups.txt,214,LFQ intensity Strap_3214,LFQ_INTENSITY,6035100,0.68181818181818177,23
R4PMC13106918:214:LFQ intensity Strap_4214:R4_PMC13106918_Strap_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06396,R4_PMC13106918_Strap_4,proteinGroups.txt,214,LFQ intensity Strap_4214,LFQ_INTENSITY,8081900,0.78260869565217395,24
R4PMC13106918:216:LFQ intensity iST_1216:R4_PMC13106918_iST_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_iST_1,proteinGroups.txt,216,LFQ intensity iST_1216,LFQ_INTENSITY,10506000,0.71875,33
R4PMC13106918:216:LFQ intensity iST_2216:R4_PMC13106918_iST_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_iST_2,proteinGroups.txt,216,LFQ intensity iST_2216,LFQ_INTENSITY,19047000,0.80645161290322576,32
R4PMC13106918:216:LFQ intensity iST_3216:R4_PMC13106918_iST_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_iST_3,proteinGroups.txt,216,LFQ intensity iST_3216,LFQ_INTENSITY,9669200,0.72413793103448276,30
R4PMC13106918:216:LFQ intensity iST_4216:R4_PMC13106918_iST_4,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_iST_4,proteinGroups.txt,216,LFQ intensity iST_4216,LFQ_INTENSITY,15024000,0.80000000000000004,31
R4PMC13106918:216:LFQ intensity Pmax_1216:R4_PMC13106918_Pmax_1,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Pmax_1,proteinGroups.txt,216,LFQ intensity Pmax_1216,LFQ_INTENSITY,18244000,0.82758620689655171,30
R4PMC13106918:216:LFQ intensity Pmax_2216:R4_PMC13106918_Pmax_2,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Pmax_2,proteinGroups.txt,216,LFQ intensity Pmax_2216,LFQ_INTENSITY,4028000,0.125,17
R4PMC13106918:216:LFQ intensity Pmax_3216:R4_PMC13106918_Pmax_3,PMC13106918_RCSI_DCU_SILICA_CORONA,Royal College of Surgeons in Ireland and Dublin City University,P06576,R4_PMC13106918_Pmax_3,proteinGroups.txt,216,LFQ intensity Pmax_3216,LFQ_INTENSITY,21249000,0.8214285714285714,29
