target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_1489a3fc27ac75c65afd,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P05556,PT_D1_23,PT_D1_23,protein_groups,,173,LFQ intensity PT_D1_23_1_S1-G1_6687:173,P05556,PT_D1_23_1_S1-G1_6687,,1,,21134.0,POSITIVE,true,true,false,0.2857142857142857,15,PROHIBITED
T193_14f439f2d3dbed8b234f,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO94,,blood_proteomics_xlsx,sGO 0h v 6h,169,J169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0015457374912442659,POSITIVE_FINITE,true,true,true,0.6875,17,PROHIBITED
T193_151bb0bfb891e787c315,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q04695,PT_D3_14,PT_D3_14,protein_groups,,51,LFQ intensity PT_D3_14_1_S1-C5_6665:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_14_1_S1-C5_6665,,1,,421.29,POSITIVE,true,true,true,0.066666666666666666,16,PROHIBITED
T193_1525d5ec4498b766fd46,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04264,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO121,,blood_proteomics_xlsx,usGO 0h vs 6h,66,AA66,K2C1_HUMAN;H6VRG3_HUMAN;H6VRF9_HUMAN;F8VP67_HUMAN;A0A1W2PQU7_HUMAN,,,,NORMALIZED_ABUNDANCE,0.022590549654933626,POSITIVE_FINITE,true,true,true,1,19,PROHIBITED
T193_1560bf3bec3de67c444d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO113,,blood_proteomics_xlsx,sGO 0h v 6h,514,M514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0019875485960324122,POSITIVE_FINITE,true,true,false,0.66666666666666663,19,PROHIBITED
T193_15a1db32a4333d3ad45d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q9HDC9,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO97,,blood_proteomics_xlsx,sGO 0h v 6h,413,V413,APMAP_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0017424241391567363,POSITIVE_FINITE,true,true,false,0.61111111111111116,19,PROHIBITED
T193_15be752bf3a9ac62c093,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q04695,T_D1_165,T_D1_165,protein_groups,,51,LFQ intensity T_D1_165_1_S1-A7_6653:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_165_1_S1-A7_6653,,1,,960.8,POSITIVE,true,true,true,0.071428571428571425,15,PROHIBITED
T193_15f77fed2dbe9bfc16e8,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO121,,blood_proteomics_xlsx,usGO 0h vs 6h,170,AA170,VTNC_HUMAN;B7Z553_HUMAN;J7HH10_HUMAN;F5GX75_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0079613954776984464,POSITIVE_FINITE,true,true,true,0.94444444444444442,19,PROHIBITED
T193_16006bbfa6117030f455,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,T_D3_155,T_D3_155,protein_groups,,385,LFQ intensity T_D3_155_1_S1-G7_6699:385,Q9HDC9,T_D3_155_1_S1-G7_6699,,1,,34475.0,POSITIVE,true,true,false,0.36363636363636365,12,PROHIBITED
T193_16995eec46496e1ea50d,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D3_06,PT_D3_06,protein_groups,,149,LFQ intensity PT_D3_06_1_S1-E5_6681:149,P04004;CON__Q3ZBS7,PT_D3_06_1_S1-E5_6681,,1,,2930700.0,POSITIVE,true,true,true,1,15,PROHIBITED
T193_16c7066b154d57d18b52,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D1_34,PT_D1_34,protein_groups,,149,LFQ intensity PT_D1_34_1_S1-C2_6659:149,P04004;CON__Q3ZBS7,PT_D1_34_1_S1-C2_6659,,1,,2117800.0,POSITIVE,true,true,true,0.75,13,PROHIBITED
T193_174aac8ada2758efb7ce,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO76,,blood_proteomics_xlsx,usGO 0h vs 6h,86,J86,MOES_HUMAN;Q6PJT4_HUMAN;B7Z4C7_HUMAN;RADI_HUMAN;B7Z2S7_HUMAN;Q9UJZ2_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0061997272997084719,POSITIVE_FINITE,true,true,true,0.84999999999999998,21,PROHIBITED
T193_17ea6306b90ee542a7fb,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,T_D1_186,T_D1_186,protein_groups,,149,LFQ intensity T_D1_186_2_S1-D6_6668:149,P04004;CON__Q3ZBS7,T_D1_186_2_S1-D6_6668,,2,,2837900.0,POSITIVE,true,true,true,0.92307692307692313,14,PROHIBITED
T193_17f4c4f840d55b6aa624,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P60174,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO79,,blood_proteomics_xlsx,usGO 0h vs 6h,83,V83,TPIS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00059627338683017339,POSITIVE_FINITE,true,true,false,0.3888888888888889,19,PROHIBITED
