outer_fold_id,held_out_source_id,model_id,alpha,held_out_inner_batch_id,spearman,selected_alpha
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 4.9:Rep1,0.7714285714285715,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 4.9:Rep2,0.8928571428571429,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 4.9:Rep3,0.7857142857142857,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.1:Rep1,0.8095238095238095,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.1:Rep2,0.8166666666666667,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.1:Rep3,0.7857142857142857,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.8:Rep1,0.7333333333333333,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.8:Rep2,0.8666666666666667,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 6.8:Rep3,0.75,100.0
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,SEQUENCE_RIDGE_FULL,0.01,PMC6592156:PH:pH 7.7:Rep1,0.9047619047619048,100.0
