target_observation_id,outer_fold_id,split_role,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_row,source_coordinate,source_identifier,author_numeric_value,source_local_rank_percentile,source_batch_positive_count,target_membership_basis,cross_source_scale_use,target_universe_count
T238_00567da6d8a0189ec6b5,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9HDC9,PMC6592156:TEMPERATURE:47 °C:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,70,Temperature!S70,Q9HDC9,7.6437556009300014,0.56934306569343063,275,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_00e68da91c1c044f3104,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:TEMPERATURE:4 °C:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,18,Temperature!C18,P04004,9.7133931298207568,0.98351648351648346,365,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_01c3791be094530c4800,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P04004,PMC6592156:TEMPERATURE:47 °C:Rep2,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,18,Temperature!T18,P04004,9.6201212328319645,0.97463768115942029,277,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_036e554fd40969c28664,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9HDC9,PMC6592156:PH:pH 6.8:Rep3,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,322,pH!M322,Q9HDC9,5.0323595798014429,0.01048951048951049,287,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_0471eef14526e8be6de6,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P11021,PMC6592156:TEMPERATURE:47 °C:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,224,Temperature!S224,P11021,7.2480760785698379,0.41605839416058393,275,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_050bbd9560c1706541df,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P60174,PMC6592156:PH:pH 6.1:Rep3,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,248,pH!I248,P60174,5.6867832177723354,0.071146245059288543,254,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_0552fee6e7a6d52393ca,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P07996,PMC6592156:PH:pH 6.1:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,70,pH!G70,P07996,7.6947101702617537,0.8340248962655602,242,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_05a51db2ab6649585167,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P06576,PMC6592156:TEMPERATURE:4 °C:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,19,Temperature!C19,P06576,7.2259897944058951,0.55494505494505497,365,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_05a8d7676201af562bdb,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,Q9HDC9,PMC6592156:PH:pH 8.9:Rep3,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,322,pH!U322,Q9HDC9,5.9592246163919764,0.019169329073482427,314,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
T238_061e4e5d97385fb2107c,T238_OUTER_01,DEVELOPMENT,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,P05556,PMC6592156:TEMPERATURE:30 °C:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,228,Temperature!K228,P05556,6.7775378311617738,0.4935064935064935,386,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,9
