threshold,model_id,biological_unit_id,measurement_batch_count,subject_mean_spearman,subject_mean_mae,subject_mean_rmse
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0029,120,0.028368722181291696,0.27340259584615895,0.3108523983268605
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0032,115,0.068533701806783,0.2616596009006392,0.3071934816156463
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0034,114,0.02021927260108573,0.2667346171927676,0.31001534243013584
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0035,105,0.06316338231660812,0.26421172667237364,0.3090945646871728
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0036,123,0.07678599270748228,0.26735781438552164,0.3066998587891403
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0037,80,0.009645201819114865,0.2716517305580498,0.31216054158587636
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0038,106,0.02976437373194639,0.2702872741947085,0.3089549064076411
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0039,83,0.05355363531053912,0.26972079029314067,0.3083434992038487
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0040,44,-0.09671089779785431,0.2748681742037698,0.3221965407573336
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0042,120,0.07622287180129227,0.2697216667787174,0.30800542320610663
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0044,119,0.14603582905168,0.26040131295552493,0.3002674777451997
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0055,142,0.03281705676975784,0.2671871549278322,0.30967402470072486
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0057,149,0.11570455161536757,0.2612942025163556,0.30444575417879255
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0058,120,0.028438974368888325,0.2653485995097157,0.31067852076832736
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0061,114,-0.029086334812141262,0.2727753361453237,0.31482390946960465
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0069,107,0.18557112598916292,0.2527065000844012,0.2972979098063957
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0071,121,0.08529766926658082,0.26466079568650136,0.3057834729310093
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0072,123,0.10598871983887198,0.2629093159583996,0.3044223838687499
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0073,66,-0.024486741328846585,0.2680073729749029,0.3146567814904073
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0075,146,0.09538769516779998,0.2638973585217267,0.3069548344638202
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0076,145,0.09957398552504225,0.26725518292382267,0.306337053526019
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0085,149,0.13520251730636815,0.2633751015281073,0.30353110619860135
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0086,129,0.10080752975677074,0.26439397715064394,0.30428662754164737
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0087,86,0.14050183738726563,0.26137172358164934,0.3014515642296416
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0088,152,0.1570362711437762,0.2619097728965009,0.300925129637086
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0090,83,0.12349818492513275,0.257655553695958,0.30313255808221046
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0091,70,0.12671804904109804,0.26111444976540926,0.30324538977067933
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0092,114,0.09143054234218329,0.26231920902394473,0.30666208735970263
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0096,127,0.08648351746401867,0.2637364438259378,0.3050046113492867
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0097,143,0.12606195022648087,0.2630362515456833,0.3034165788802121
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0099,134,0.10389216140532306,0.2620116536006747,0.3056908642888452
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,020-0100,80,0.021141335490612465,0.2644753745143545,0.31219737897697336
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,021-0002,47,0.003209947946790047,0.2587197720548725,0.31343405821160986
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,021-0004,41,-0.10006835269993164,0.27027818004399495,0.32191582047940925
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,022-0004,82,0.15595037606644707,0.25958975542750573,0.2998087764916106
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,022-0010,43,-0.10287972896668551,0.26519786297876324,0.31936292823585244
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,022-0011,113,0.017537795522361704,0.26649373900880635,0.31070147613304344
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,022-0013,56,-0.030647130647130642,0.2749714403984965,0.3161237470116909
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,022-0014,77,0.19993253006927622,0.25721410560318364,0.2978463080974205
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,022-0017,77,0.14683656062966408,0.25816754976474066,0.3002441878797356
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,023-0001,118,0.08323731792864161,0.2683809876974209,0.3066044768588846
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,024-0001,85,0.10647785288497191,0.26394280352838945,0.3038475999585479
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,029-0004,127,0.13968584374795526,0.26451321554356033,0.3018029504878832
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,029-0005,151,0.07229578666641445,0.2675277262722412,0.3082025010432119
25,SEQUENCE_RIDGE_FULL,001-0010,127,0.15645865004915913,0.2605296234968075,0.29743989654604247
25,SEQUENCE_RIDGE_FULL,001-0018,127,0.08845301810176999,0.2619294657198516,0.3022423537652832
25,SEQUENCE_RIDGE_FULL,001-0025,123,0.21547873093013117,0.2509206511964438,0.2929150523405734
25,SEQUENCE_RIDGE_FULL,001-0031,88,0.12372550923718888,0.2609458984577235,0.3007682125876672
25,SEQUENCE_RIDGE_FULL,001-0033,125,0.09368763760939709,0.2626754209939674,0.3023341642731555
25,SEQUENCE_RIDGE_FULL,001-0035,120,0.15420549400870673,0.2584114070688339,0.297665541865878
25,SEQUENCE_RIDGE_FULL,001-0040,125,0.08719263782467178,0.2572630197905821,0.3022383950801295
25,SEQUENCE_RIDGE_FULL,001-0041,123,0.136790562746486,0.2559961926936127,0.29923133114927075
25,SEQUENCE_RIDGE_FULL,001-0044,117,0.074502195569558,0.2596180473506933,0.3034933882512274
25,SEQUENCE_RIDGE_FULL,001-0048,119,0.12914761591763818,0.26048733953815456,0.2999750278782619
