threshold,model_id,external_observation_count,measurement_batch_count,biological_unit_count,subject_equal_mean_spearman,subject_equal_mean_mae,subject_equal_mean_rmse,batch_weighted_mean_spearman,subject_equal_mean_spearman_lower_95,subject_equal_mean_spearman_upper_95,subject_equal_mean_mae_lower_95,subject_equal_mean_mae_upper_95,subject_equal_mean_rmse_lower_95,subject_equal_mean_rmse_upper_95
5,SEQUENCE_RIDGE_FULL,17330,705.0,141.0,0.07173110273215001,0.2661262772100306,0.308472416599481,0.07173110273215003,0.05700976951432448,0.08496630531515416,0.26450545095138334,0.26793811606305445,0.3067540560016911,0.31031044370112115
5,SEQUENCE_RIDGE_COMPOSITION_ONLY,17330,705.0,141.0,0.04472100031459351,0.2705030945218056,0.312940565497842,0.04472100031459351,0.029137716929978116,0.058855483232336143,0.2688077355495471,0.2723126156602428,0.31121340660757363,0.31478145109815836
7,SEQUENCE_RIDGE_FULL,17291,698.0,141.0,0.07503475493911886,0.26554915326274336,0.3079418472640368,0.07595026442553425,0.061932648928169014,0.08757570057434806,0.26424093664974974,0.266942634208311,0.3064317536880618,0.30952291170983054
7,SEQUENCE_RIDGE_COMPOSITION_ONLY,17291,698.0,141.0,0.04715843702612284,0.26993461689009424,0.312424833498857,0.04864882041598833,0.032951268193381254,0.06073258047841723,0.26857666200760644,0.271320606218302,0.31090913011798105,0.31401874283338876
10,SEQUENCE_RIDGE_FULL,17026,666.0,141.0,0.06845095132727338,0.2654294385850904,0.3076074864714099,0.07686107364146154,0.05239776348336491,0.08272579279303342,0.26397277104001443,0.26702942182501793,0.30616144079970997,0.30922998495157616
10,SEQUENCE_RIDGE_COMPOSITION_ONLY,17026,666.0,141.0,0.039172406866206384,0.26983487613112633,0.31213473195105174,0.050049650340165654,0.02161542032221281,0.05469788962118817,0.2683502804627299,0.27148939527102406,0.3106582939182652,0.3137825397385609
12,SEQUENCE_RIDGE_FULL,16739,639.0,141.0,0.07043149281875596,0.2645104150167988,0.306868021706871,0.08239449312334811,0.05135302946039784,0.08618708054356088,0.26304220260993083,0.26612368922375124,0.3053536593430656,0.30853003223272507
12,SEQUENCE_RIDGE_COMPOSITION_ONLY,16739,639.0,141.0,0.040073947971297125,0.2689137891196827,0.3114241406012291,0.05574482928705652,0.018954393693188396,0.057685672173990725,0.26737998359798,0.27063465330120917,0.3098713808313105,0.3131619994540658
15,SEQUENCE_RIDGE_FULL,16050,587.0,137.0,0.08341996348322236,0.2624402353599594,0.3049625523757876,0.09542830455221994,0.0665246722310578,0.09886366702566374,0.26124181002521435,0.2637317200557856,0.3036529274992096,0.30647304223195615
15,SEQUENCE_RIDGE_COMPOSITION_ONLY,16050,587.0,137.0,0.05077995331203537,0.266690871753748,0.30960026400338275,0.06760116690863403,0.03249630502050992,0.06754426164114635,0.2654399209666725,0.26806968639911216,0.30821779974034913,0.31117266463126875
20,SEQUENCE_RIDGE_FULL,14695,506.0,129.0,0.10199819887394046,0.2607970208605082,0.3026495520477153,0.10780701358124284,0.08897816188141518,0.11447751433173042,0.26001662360991223,0.26160184348162313,0.3016341689332385,0.30377449880456325
20,SEQUENCE_RIDGE_COMPOSITION_ONLY,14695,506.0,129.0,0.06519975039215392,0.2652025363550931,0.3076006229082429,0.0744843394197894,0.05100935821111141,0.07826539527794442,0.2643988679100074,0.2660616961421989,0.3066077237769539,0.3087368975004771
25,SEQUENCE_RIDGE_FULL,12918,426.0,122.0,0.10317359465638525,0.26047009609664135,0.30195345008457397,0.10698404553927768,0.09180036493021644,0.11359619841820981,0.2597365635690986,0.26117640465166625,0.3011107261186124,0.3028149750383283
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,12918,426.0,122.0,0.06984387705857908,0.26501235047486327,0.3069993232607619,0.07600943639725223,0.05966866623850187,0.07911249370004106,0.2643242725765394,0.2656910054987649,0.30622747132711287,0.30779283225599074
30,SEQUENCE_RIDGE_FULL,8721,274.0,110.0,0.09140923665405637,0.26079543093783236,0.30206302043925476,0.10429941266353772,0.07646416236587208,0.10593519110714845,0.25971911732518194,0.2619225318818306,0.30088671569678777,0.3032530241928441
30,SEQUENCE_RIDGE_COMPOSITION_ONLY,8721,274.0,110.0,0.06540432226701617,0.26568295525321756,0.30730720922297106,0.0801003050765292,0.05082249565615369,0.079624154658439,0.2646643617548356,0.2667487472324693,0.3061565767177606,0.3084431953890854
