resample,selected_alpha,null_subject_equal_mean_spearman
1,10.0,0.19638055373008995
2,10.0,-0.06024588650103037
3,0.01,-0.19445863838673788
4,0.1,-0.08226647534483508
5,100.0,0.0935981244810992
6,0.1,-0.032624454586181274
7,100.0,-0.2610317857351765
8,100.0,0.08592616589044857
9,0.01,0.07957471432107575
10,10.0,0.15036405210057055
11,100.0,0.12346257570657716
12,10.0,0.3723115612649206
13,0.1,-0.1604810463860524
14,0.01,-0.366006744199507
15,100.0,-0.17659884975217507
16,10.0,-0.04678780242012569
17,0.01,-0.016385574330100083
18,10.0,-0.3051372236225774
19,0.01,-0.146366144562007
20,10.0,0.13525780446172742
21,1.0,0.05414873922629899
22,0.01,0.073011782579422
23,1.0,-0.13225562518713166
24,100.0,-0.08083637081379932
25,100.0,0.04796649119536568
26,1.0,-0.03581258943721055
27,10.0,0.10037768166678443
28,0.1,-0.17240657540185436
29,0.01,0.14280492260520292
30,100.0,-0.09195302181223085
31,100.0,0.09041690204637955
32,0.01,0.07224079007143391
33,10.0,0.13519608184520954
34,0.1,0.09315299065333074
35,10.0,-0.22324156281887822
36,10.0,0.20879214707405858
37,100.0,0.0294217622835974
38,100.0,0.10002479143127821
39,1.0,0.08878283799198154
40,0.1,-0.06591708224517488
41,0.01,-0.04046709990176924
42,10.0,-0.029567159921319745
43,10.0,-0.08377259296444092
44,1.0,-0.1566982371460892
45,100.0,-0.09664466805841129
46,100.0,0.09665874481976473
47,1.0,-0.011873607287365093
48,0.01,0.009752825108812604
49,0.1,0.020173755891739288
50,10.0,-0.10736560000648143
51,0.01,-0.32515211832374913
52,100.0,-0.13571240224504968
53,10.0,0.026086244144816466
54,0.01,-0.09867681682685567
55,0.01,-0.18735438294068418
56,100.0,0.010401163211793941
57,100.0,-0.21580331626774843
58,10.0,-0.06325364602397232
59,100.0,0.10603799735996072
60,100.0,-0.1143300984042538
61,100.0,-0.11410639884787022
62,100.0,0.13289088082921
63,100.0,-0.07657083282907837
64,10.0,0.17379483986840874
65,100.0,0.19913025393371336
66,0.1,0.1070308480617913
67,0.01,0.013465578034912646
68,1.0,-0.029886535049249142
69,100.0,-0.0662588151659245
70,1.0,0.07707202179435509
71,0.01,-0.04506405211344152
72,10.0,-0.013100215310411218
73,0.1,0.1681246629649155
74,10.0,-0.15023541569452936
75,0.01,0.16897368872162974
