threshold,paired_measurement_batch_count,full_minus_composition_batch_mean_spearman,resamples,seed,lower_95,upper_95
5,705,0.027010102417556504,2000,2485,0.02233543947014601,0.03159686249506335
7,698,0.027301444009545924,2000,2487,0.022814599201454545,0.031672934789525084
10,666,0.026811423301295875,2000,2490,0.022617175875947946,0.030994170501624674
12,639,0.026649663836291592,2000,2492,0.0225632900365977,0.03104484151442902
15,587,0.027827137643585912,2000,2495,0.023761542397245216,0.03173739052214862
20,506,0.033322674161453444,2000,2500,0.029915978509254322,0.036676802259829305
25,426,0.030974609142025433,2000,2505,0.028045113881954964,0.033952011274789425
30,274,0.02419910758700853,2000,2510,0.021234332954191817,0.02718803570794346
