source_id,laboratory_anchor,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,condition_kind,condition_label,replicate_label,measurement_batch_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!C4,P01024,PH,pH 4.9,Rep1,PMC6592156:PH:pH 4.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,9.5762127019143524,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!D4,P01024,PH,pH 4.9,Rep2,PMC6592156:PH:pH 4.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,9.5609647600185834,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!E4,P01024,PH,pH 4.9,Rep3,PMC6592156:PH:pH 4.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.3525082763461302,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!G4,P01024,PH,pH 6.1,Rep1,PMC6592156:PH:pH 6.1:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.3530987427092516,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!H4,P01024,PH,pH 6.1,Rep2,PMC6592156:PH:pH 6.1:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.5679905112192092,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!I4,P01024,PH,pH 6.1,Rep3,PMC6592156:PH:pH 6.1:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.5827472671004497,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!K4,P01024,PH,pH 6.8,Rep1,PMC6592156:PH:pH 6.8:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.6821413350347125,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!L4,P01024,PH,pH 6.8,Rep2,PMC6592156:PH:pH 6.8:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.1765386546582501,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!M4,P01024,PH,pH 6.8,Rep3,PMC6592156:PH:pH 6.8:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.7233364116529675,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!O4,P01024,PH,pH 7.7,Rep1,PMC6592156:PH:pH 7.7:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.770020887318088,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!P4,P01024,PH,pH 7.7,Rep2,PMC6592156:PH:pH 7.7:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.9713894157384146,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!Q4,P01024,PH,pH 7.7,Rep3,PMC6592156:PH:pH 7.7:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.0975061706518758,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!S4,P01024,PH,pH 8.9,Rep1,PMC6592156:PH:pH 8.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,9.0295664046521136,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!T4,P01024,PH,pH 8.9,Rep2,PMC6592156:PH:pH 8.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,9.0421151719195496,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,4,pH!U4,P01024,PH,pH 8.9,Rep3,PMC6592156:PH:pH 8.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,9.1447873572004852,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!C5,P06396,PH,pH 4.9,Rep1,PMC6592156:PH:pH 4.9:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,8.5438129238650848,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!D5,P06396,PH,pH 4.9,Rep2,PMC6592156:PH:pH 4.9:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,8.3967267036952276,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!E5,P06396,PH,pH 4.9,Rep3,PMC6592156:PH:pH 4.9:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.2858631647527741,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!G5,P06396,PH,pH 6.1,Rep1,PMC6592156:PH:pH 6.1:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,7.6354930071797762,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!H5,P06396,PH,pH 6.1,Rep2,PMC6592156:PH:pH 6.1:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.9068702794633223,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!I5,P06396,PH,pH 6.1,Rep3,PMC6592156:PH:pH 6.1:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,7.7368003875630817,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!K5,P06396,PH,pH 6.8,Rep1,PMC6592156:PH:pH 6.8:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,7.8355096003287734,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!L5,P06396,PH,pH 6.8,Rep2,PMC6592156:PH:pH 6.8:Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.4554798954303934,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!M5,P06396,PH,pH 6.8,Rep3,PMC6592156:PH:pH 6.8:Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,7.7922602462236634,POSITIVE_LOG_LFQ,true
PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,supplementary_data_2_lfq_xlsx,pH,5,pH!O5,P06396,PH,pH 7.7,Rep1,PMC6592156:PH:pH 7.7:Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,7.7491445850034486,POSITIVE_LOG_LFQ,true
