model_id,external_observation_count,external_measurement_batch_count,primary_metric_status,mean_spearman,mean_spearman_lower_95,mean_spearman_upper_95,mean_mae,mean_mae_lower_95,mean_mae_upper_95,mean_rmse,mean_rmse_lower_95,mean_rmse_upper_95
CONSTANT_TRAINING_MEAN,7075,134,UNDEFINED_CONSTANT_PREDICTION,,,,0.25531251617120715,0.25508332737764827,0.25555919655374443,0.29489081425470676,0.29462856344124,0.29517402410128968
SEQUENCE_RIDGE_FULL,7075,134,DEFINED,0.40019009553306473,0.37416139223731582,0.42295822385379805,0.23053685269208662,0.228298830729838,0.23293729198786803,0.26921530255446829,0.26678040371420941,0.27196656573154837
SEQUENCE_RIDGE_COMPOSITION_ONLY,7075,134,DEFINED,0.4048635999803849,0.37975988791750809,0.42823161834162959,0.23105524762873819,0.22898808727814923,0.23313078612510943,0.27055081967280198,0.26830373086653947,0.27290415959844128
