outer_fold_id,held_out_laboratory_anchor,model_id,held_out_observation_count,held_out_measurement_batch_count,primary_metric_status,mean_spearman,mean_spearman_lower_95,mean_spearman_upper_95,mean_mae,mean_mae_lower_95,mean_mae_upper_95,mean_rmse,mean_rmse_lower_95,mean_rmse_upper_95
T193_OUTER_01,"Dalian University of Technology, China",CONSTANT_TRAINING_MEAN,109,6,UNDEFINED_CONSTANT_PREDICTION,,,,0.2643766278441201,0.26294903926482877,0.26575507395940834,0.3052277249115067,0.3037780999900865,0.3066248536464513
T193_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,109,6,DEFINED,0.4436735778841043,0.3243188184364655,0.5672714205299337,0.26683378731381185,0.2368115895121572,0.29631993871354084,0.35014363607340065,0.31545605049918296,0.38424665906873934
T193_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_COMPOSITION_ONLY,109,6,DEFINED,0.5322047878162429,0.41631714089144434,0.6705690809018982,0.38048235485582027,0.33721579839623655,0.42365917643359463,0.8192014790102463,0.7678791672315008,0.873623982375029
T193_OUTER_02,University College Dublin / Conway Institute,CONSTANT_TRAINING_MEAN,454,30,UNDEFINED_CONSTANT_PREDICTION,,,,0.2674929384341149,0.2664842680195621,0.2684319095936743,0.3088879191468548,0.30786937618903765,0.3099281128014419
T193_OUTER_02,University College Dublin / Conway Institute,SEQUENCE_RIDGE_FULL,454,30,DEFINED,0.33102280465201794,0.2852653601061382,0.3781182023937247,0.2685095527149624,0.26105086865839683,0.2762909382103677,0.3330996580314197,0.32510956189595513,0.3409445978081491
T193_OUTER_02,University College Dublin / Conway Institute,SEQUENCE_RIDGE_COMPOSITION_ONLY,454,30,DEFINED,0.36756689017299143,0.32216640083060066,0.4180629072655931,0.26787098978020063,0.2608561605669495,0.27490757110912706,0.3359161263365048,0.32749431086303227,0.343526516754868
T193_OUTER_03,University of Edinburgh-led controlled human exposure study,CONSTANT_TRAINING_MEAN,932,49,UNDEFINED_CONSTANT_PREDICTION,,,,0.2634482364374321,0.26326470437799177,0.2636317684968724,0.3042983783553772,0.3041190975366125,0.3044679512118509
T193_OUTER_03,University of Edinburgh-led controlled human exposure study,SEQUENCE_RIDGE_FULL,932,49,DEFINED,0.20516252297227844,0.16588778368490253,0.2425730767358207,0.2949415422719173,0.2869664798504537,0.30291121793056913,0.3587284448799717,0.3492234410144505,0.3681275599598699
T193_OUTER_03,University of Edinburgh-led controlled human exposure study,SEQUENCE_RIDGE_COMPOSITION_ONLY,932,49,DEFINED,-0.0015592634866660245,-0.04198173339739176,0.040021028575476666,0.4092837470251975,0.3998434251094461,0.4182755628596135,0.5136578080248879,0.5013198955593938,0.5261404926069153
