target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_459c1989bb836c83dfda,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q9HDC9,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO62,,blood_proteomics_xlsx,usGO 0h vs 6h,644,U644,APMAP_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00067932316640017902,POSITIVE_FINITE,true,true,false,0.21052631578947367,20,PROHIBITED
T193_45c71888666106fd7ec2,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P05556,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO60,,blood_proteomics_xlsx,usGO 0h vs 6h,73,H73,ITB1_HUMAN;H7C4N8_HUMAN;C9JPK5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0001600377066642598,POSITIVE_FINITE,true,true,true,0.27777777777777779,19,PROHIBITED
T193_45dac6a628671e47c54b,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q04695,PT_D3_22,PT_D3_22,protein_groups,,51,LFQ intensity PT_D3_22_2_S1-D4_6664:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D3_22_2_S1-D4_6664,,2,,228.32,POSITIVE,true,true,true,0,13,PROHIBITED
T193_45e802bf16567d6fef91,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P68363,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO112,,blood_proteomics_xlsx,usGO 0h vs 6h,15,M15,TBA1A_HUMAN;TBA1B_HUMAN;A0A1W2PQM2_HUMAN;B4DDU2_HUMAN;B4DQK4_HUMAN;Q8N532_HUMAN;TBA3C_HUMAN;TBA3E_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00054225201428126737,POSITIVE_FINITE,true,true,true,0.42105263157894735,20,PROHIBITED
T193_45ec216512be77142c94,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D1_20,PT_D1_20,protein_groups,,149,LFQ intensity PT_D1_20_1_S1-E1_6673:149,P04004;CON__Q3ZBS7,PT_D1_20_1_S1-E1_6673,,1,,2677400.0,POSITIVE,true,true,true,0.90909090909090906,12,PROHIBITED
T193_46387055378b2ea5c5c6,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04264,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO40,,blood_proteomics_xlsx,usGO 0h vs 6h,66,E66,K2C1_HUMAN;H6VRG3_HUMAN;H6VRF9_HUMAN;F8VP67_HUMAN;A0A1W2PQU7_HUMAN,,,,NORMALIZED_ABUNDANCE,0.064076793119321129,POSITIVE_FINITE,true,true,true,1,19,PROHIBITED
T193_463c656fb49cbb6f9f99,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P60174,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO86,,blood_proteomics_xlsx,usGO 0h vs 6h,83,W83,TPIS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00018699669538455588,POSITIVE_FINITE,true,true,false,0.052631578947368418,20,PROHIBITED
T193_464b5f39d13545d71b50,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P30041,PT_D1_20,PT_D1_20,protein_groups,,283,LFQ intensity PT_D1_20_1_S1-E1_6673:283,P30041,PT_D1_20_1_S1-E1_6673,,1,,36111.0,POSITIVE,true,true,false,0.45454545454545453,12,PROHIBITED
T193_46b64c15a513aa5e721b,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q9H4B7,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO53,,blood_proteomics_xlsx,usGO 0h vs 6h,67,T67,TBB1_HUMAN;Q53G92_HUMAN;A0A183YE00_HUMAN;TBB3_HUMAN;TBB6_HUMAN,,,,NORMALIZED_ABUNDANCE,7.3113510167102432e-06,POSITIVE_FINITE,true,true,true,0.055555555555555552,19,PROHIBITED
T193_46e8e4a56e048ed09415,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q04695,T_D3_198,T_D3_198,protein_groups,,51,LFQ intensity T_D3_198_2_S1-D8_6672:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_198_2_S1-D8_6672,,2,,5077700.0,POSITIVE,true,true,true,1,25,PROHIBITED
T193_474f8c4dac2d5065b807,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q04695,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO120,,blood_proteomics_xlsx,usGO 0h vs 6h,381,Z381,K1C17_HUMAN;F5GWP8_HUMAN;Q14666_HUMAN;K7EPJ9_HUMAN;B4E2P9_HUMAN;B4DJM5_HUMAN;K7ESE1_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0030477018417583691,POSITIVE_FINITE,true,true,true,0.78947368421052633,20,PROHIBITED
T193_475548f3258e53d9c52c,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO12,,blood_proteomics_xlsx,sGO 0h v 6h,169,O169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0054544753124377097,POSITIVE_FINITE,true,true,true,0.70588235294117652,18,PROHIBITED
T193_47ac0ab0f657f972441d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P09493,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO111,,blood_proteomics_xlsx,usGO 0h vs 6h,541,L541,J3KN67_HUMAN;Q5VU61_HUMAN;TPM1_HUMAN;A0A024R4K5_HUMAN;B4DTK3_HUMAN;B4E3P1_HUMAN,,,,NORMALIZED_ABUNDANCE,4.6457919701027249e-05,POSITIVE_FINITE,true,true,true,0.055555555555555552,19,PROHIBITED
T193_47ad744f82ed485b0aec,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO43,,blood_proteomics_xlsx,sGO 0h v 6h,74,F74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.011478946763275823,POSITIVE_FINITE,true,true,true,0.88235294117647056,18,PROHIBITED
T193_4851c0c1015123db134c,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P10599,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO16,,blood_proteomics_xlsx,sGO 0h v 6h,558,P558,THIO_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0052186605816752505,POSITIVE_FINITE,true,true,false,0.76470588235294112,18,PROHIBITED
T193_4875a9a2db8dd0335435,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q04695,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO79,,blood_proteomics_xlsx,usGO 0h vs 6h,381,V381,K1C17_HUMAN;F5GWP8_HUMAN;Q14666_HUMAN;K7EPJ9_HUMAN;B4E2P9_HUMAN;B4DJM5_HUMAN;K7ESE1_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0052740837423128932,POSITIVE_FINITE,true,true,true,0.83333333333333337,19,PROHIBITED
T193_487fda41acb5404b4dbd,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P07996,T_D1_165,T_D1_165,protein_groups,,202,LFQ intensity T_D1_165_1_S1-A7_6653:202,P07996;CON__Q28194;P35442,T_D1_165_1_S1-A7_6653,,1,,141440.0,POSITIVE,true,true,true,0.5714285714285714,15,PROHIBITED
