batch_index,request_accession_count,response_accession_count,request_url,response_file_name,response_sha256
1,50,50,https://rest.uniprot.org/uniprotkb/stream?query=%28accession%3AO00151+OR+accession%3AO00187+OR+accession%3AO00264+OR+accession%3AO00299+OR+accession%3AO00410+OR+accession%3AO15145+OR+accession%3AO75083+OR+accession%3AO75531+OR+accession%3AP00387+OR+accession%3AP00403+OR+accession%3AP01275+OR+accession%3AP04004+OR+accession%3AP04264+OR+accession%3AP04844+OR+accession%3AP05023+OR+accession%3AP05556+OR+accession%3AP06396+OR+accession%3AP06576+OR+accession%3AP07996+OR+accession%3AP09493+OR+accession%3AP10599+OR+accession%3AP10644+OR+accession%3AP10809+OR+accession%3AP11021+OR+accession%3AP11166+OR+accession%3AP11413+OR+accession%3AP13796+OR+accession%3AP14868+OR+accession%3AP15531+OR+accession%3AP16615+OR+accession%3AP19367+OR+accession%3AP20645+OR+accession%3AP21796+OR+accession%3AP23284+OR+accession%3AP24844+OR+accession%3AP26038+OR+accession%3AP26641+OR+accession%3AP27348+OR+accession%3AP27797+OR+accession%3AP28066+OR+accession%3AP28070+OR+accession%3AP30041+OR+accession%3AP30044+OR+accession%3AP30048+OR+accession%3AP30101+OR+accession%3AP37802+OR+accession%3AP38646+OR+accession%3AP45880+OR+accession%3AP49411+OR+accession%3AP50990%29&format=fasta,batch-0001.fasta,282e36108fecebb789f51db7ec44fb5fe4f0203ea59ecd9f69f7071cac1a466d
2,49,49,https://rest.uniprot.org/uniprotkb/stream?query=%28accession%3AP50991+OR+accession%3AP50995+OR+accession%3AP52907+OR+accession%3AP53396+OR+accession%3AP55072+OR+accession%3AP60174+OR+accession%3AP61006+OR+accession%3AP61026+OR+accession%3AP61106+OR+accession%3AP61978+OR+accession%3AP61981+OR+accession%3AP62330+OR+accession%3AP62805+OR+accession%3AP63000+OR+accession%3AP68363+OR+accession%3AP68366+OR+accession%3AP78417+OR+accession%3AQ04695+OR+accession%3AQ14247+OR+accession%3AQ14974+OR+accession%3AQ15084+OR+accession%3AQ15365+OR+accession%3AQ15404+OR+accession%3AQ15691+OR+accession%3AQ15942+OR+accession%3AQ16543+OR+accession%3AQ16643+OR+accession%3AQ16762+OR+accession%3AQ27J81+OR+accession%3AQ58FF8+OR+accession%3AQ70J99+OR+accession%3AQ7L576+OR+accession%3AQ7Z406+OR+accession%3AQ86VP6+OR+accession%3AQ8TC12+OR+accession%3AQ93084+OR+accession%3AQ99733+OR+accession%3AQ99832+OR+accession%3AQ9BS26+OR+accession%3AQ9BSJ8+OR+accession%3AQ9H4B7+OR+accession%3AQ9HDC9+OR+accession%3AQ9NQC3+OR+accession%3AQ9NR12+OR+accession%3AQ9NRW1+OR+accession%3AQ9NS28+OR+accession%3AQ9NY65+OR+accession%3AQ9Y2A7+OR+accession%3AQ9Y3F4%29&format=fasta,batch-0002.fasta,811c83d671edda367b63947753d31e130a5ab39e3dede5589b000ea2225ea25f
