model_id,measurement_batch_id,protein_count,spearman,spearman_status,mae,rmse
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 4.9:Rep3,17,0.43872549019607843,DEFINED,0.33410660781467066,0.35708792016955754
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 6.1:Rep1,25,0.58384615384615379,DEFINED,0.25411421092408343,0.29944263278744432
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 6.1:Rep2,30,0.65517241379310343,DEFINED,0.24892902794866975,0.29308884894391024
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 6.1:Rep3,26,0.58974358974358976,DEFINED,0.23761691932152915,0.27739274960005605
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 6.8:Rep1,33,0.59491978609625673,DEFINED,0.24596211583318098,0.28630337964934671
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 6.8:Rep2,31,0.56451612903225812,DEFINED,0.18332247347224484,0.23456038315186795
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 6.8:Rep3,32,0.56964809384164228,DEFINED,0.19187002586373197,0.23522743693290515
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 7.7:Rep1,30,0.56262513904338152,DEFINED,0.21040612926637461,0.24818671905534562
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 7.7:Rep2,33,0.54712566844919786,DEFINED,0.2166156658306006,0.25749542703945999
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 7.7:Rep3,33,0.54545454545454541,DEFINED,0.22554043007357844,0.26621559692268471
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 8.9:Rep1,31,0.4375,DEFINED,0.22868790887326346,0.26301015034448405
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 8.9:Rep2,22,0.33483907396950874,DEFINED,0.34392153783099744,0.36816170388066422
SEQUENCE_RIDGE_FULL,PMC6592156:PH:pH 8.9:Rep3,32,0.47397360703812319,DEFINED,0.23890664843801623,0.26737918097660807
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:17 °C:Rep1,35,0.46946778711484594,DEFINED,0.17430501031832596,0.22502132262322525
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:17 °C:Rep2,36,0.46692406692406691,DEFINED,0.19140195562858278,0.23713536013548042
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:17 °C:Rep3,33,0.48328877005347592,DEFINED,0.20988680015242275,0.2581772244577244
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:30 °C:Rep1,42,0.45352888744834291,DEFINED,0.20299866466544172,0.24706618207076717
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:30 °C:Rep2,40,0.3172607879924953,DEFINED,0.18535883211483908,0.22908933471556123
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:30 °C:Rep3,36,0.5163449163449163,DEFINED,0.20344946883123904,0.25365120112850087
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:4 °C:Rep1,39,0.66862348178137654,DEFINED,0.20395286913352564,0.24459319027866666
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:4 °C:Rep2,42,0.46795235394214407,DEFINED,0.20460428337626174,0.25386517654675017
SEQUENCE_RIDGE_FULL,PMC6592156:TEMPERATURE:4 °C:Rep3,42,0.52791507981524999,DEFINED,0.19383350366472407,0.24640190505297072
