resample,null_mean_spearman
1,-0.14363364610680349
2,-0.13042471224330709
3,-0.023292402262780437
4,-0.13263881332493582
5,0.026118182641268192
6,-0.073841389838758653
7,-0.058902083084993437
8,-0.14053861020232719
9,-0.17117438911387056
10,-0.20979673264883614
11,-0.047031723311358624
12,0.015111066699907331
13,-0.083362562211840033
14,-0.064522387244301621
15,0.14165690596740407
16,-0.17974179916480904
17,-0.13811018978741474
18,0.067993953916561919
19,-0.26942056875333592
20,-0.16885773497848713
21,-0.040670552056435043
22,0.029616456620578428
23,-0.28734161746781722
24,0.025547477822341534
25,-0.11153663011376856
26,-0.20055074176933516
27,-0.17802859504147386
28,-0.12660951063517673
29,-0.080016531887520934
30,-0.21069141175502834
31,-0.29226215423350149
32,-0.14859963569144219
33,-0.21638383807927822
34,-0.20183825439972802
35,-0.18517036704324524
36,-0.013569205475403034
37,-0.26928556767902279
38,-0.0066336954845429867
39,0.086839347038132397
40,0.049346471801048161
41,0.079893676193419749
42,-0.11037987376534766
43,-0.25189130473280724
44,0.15355499030681047
45,-0.0026026588934466291
46,0.26751024528847317
47,-0.21894888209427993
48,0.072410161988654145
49,0.060937433035094808
50,-0.084833731630948497
51,-0.13748229033292494
52,-0.11662777585360552
53,-0.25517549840071291
54,-0.083674016265633727
55,0.10042548999986524
56,-0.0016963317704859677
57,-0.22463967100672694
58,-0.22607413725238415
59,-0.25800992811165513
60,-0.073660319800762514
61,-0.24204635927133969
62,-0.17124005920344834
63,-0.02705010137220952
64,-0.094574077645287871
65,0.1785313766143545
66,-0.19676908061972895
67,-0.19634123559364258
68,0.16308544948208292
69,-0.066596319172193441
70,0.19565708854162189
71,-0.12667275922513505
72,-0.10463335627722442
73,0.094089448664457676
74,0.022413973009581853
75,-0.16303708481424514
76,0.071887651964594956
77,-0.095887199739223952
78,-0.15332376840537182
79,0.04238732746187026
80,-0.28495533638970599
81,0.062264960318734075
82,-0.26154336121904831
83,-0.11723988881655535
84,0.17473161184522593
85,-0.0031577152829106465
86,-0.18042240670523074
87,-0.012802412796066229
88,-0.030646527588290791
89,-0.1501583707160612
90,-0.24196631465219465
91,-0.18089781553040721
92,-0.077498914333763436
93,-0.13009745196837433
94,-0.17261297830032396
95,-0.1116525699148407
96,-0.22888115216928198
97,-0.023382827620244521
98,0.014112467433507348
99,-0.12614390565338265
100,-0.23334013226951802
101,0.2252183418913323
102,-0.11452182752351164
103,-0.25991179675764692
104,-0.19756397482039872
105,-0.32298793578000318
106,0.032349016518564741
107,0.05108649706806731
108,-0.20693072031225149
109,-0.23932583154461856
110,0.057648916008933383
111,0.0030414487223962986
112,0.03677525145506521
113,-0.18586600203627604
114,0.079400451536040098
115,0.20736340778167087
116,-0.08321012676326571
117,-0.057774187845102548
118,-0.088842392900810127
119,-0.13215995388140059
120,-0.25295447919574532
121,-0.18995526664975332
122,0.091019858530723655
123,0.10215988547757289
124,-0.074106665735563973
125,0.13101569717291739
