analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,replicate_1,replicate_2,replicate_3,mean_value,cv_percent,good_center,similar_instrument,replicate_count
PMC11328176:SuppData1:11:Q04941,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2920|6042|9164,Supp Data 1!P2920|Supp Data 1!P6042|Supp Data 1!P9164,11,Q04941,PLP2,2.12658087256596e-05,2.19321942903133e-05,2.25087979939311e-05,2.19022670033013e-05,2.8400476341786,Yes,No,3
PMC11328176:SuppData1:11:Q07021,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2869|5991|9113,Supp Data 1!P2869|Supp Data 1!P5991|Supp Data 1!P9113,11,Q07021,C1QBP,1.70851369098381e-05,1.78818419879033e-05,1.71011438274678e-05,1.73560409084031e-05,2.62402828187704,Yes,No,3
PMC11328176:SuppData1:11:Q08380,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2536|5658|8780,Supp Data 1!P2536|Supp Data 1!P5658|Supp Data 1!P8780,11,Q08380,LGALS3BP,0.000148831674214359,0.000155206708581011,0.000176932020699014,0.000160323467831462,9.18916565815705,Yes,No,3
PMC11328176:SuppData1:11:Q08495,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2711|5833|8955,Supp Data 1!P2711|Supp Data 1!P5833|Supp Data 1!P8955,11,Q08495,DMTN,2.96106506481412e-05,3.79901155444972e-05,3.05829285902456e-05,3.27278982609613e-05,14.003556852121,Yes,No,3
PMC11328176:SuppData1:11:Q08722,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2814|5936|9058,Supp Data 1!P2814|Supp Data 1!P5936|Supp Data 1!P9058,11,Q08722,CD47,0.000281401728641173,0.000273513345311781,0.000291624333396046,0.000282179802449666,3.21799424452342,Yes,No,3
PMC11328176:SuppData1:11:Q12907,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2794|5916|9038,Supp Data 1!P2794|Supp Data 1!P5916|Supp Data 1!P9038,11,Q12907,LMAN2,1.39336748553528e-05,1.72545271416768e-05,1.17694621626636e-05,1.43192213865644e-05,19.2942253701444,Yes,No,3
PMC11328176:SuppData1:11:Q13103,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2839|5961|9083,Supp Data 1!P2839|Supp Data 1!P5961|Supp Data 1!P9083,11,Q13103,SPP2,1.30869697449244e-05,1.57181962310587e-05,1.30663883380735e-05,1.39571847713522e-05,10.9270988674242,Yes,No,3
PMC11328176:SuppData1:11:Q13201,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2406|5528|8650,Supp Data 1!P2406|Supp Data 1!P5528|Supp Data 1!P8650,11,Q13201,MMRN1,0.00086588958408521,0.000879941416153152,0.000897443226926524,0.000881091409054962,1.79416394043301,Yes,No,3
PMC11328176:SuppData1:11:Q13423,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2603|5725|8847,Supp Data 1!P2603|Supp Data 1!P5725|Supp Data 1!P8847,11,Q13423,NNT,5.2112361639518e-05,4.94136908770849e-05,4.71611262434881e-05,4.95623929200303e-05,5.00170552961955,Yes,No,3
PMC11328176:SuppData1:11:Q13576,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2495|5617|8739,Supp Data 1!P2495|Supp Data 1!P5617|Supp Data 1!P8739,11,Q13576,IQGAP2,0.00010082719658694,0.000106062316512202,0.000117596233523134,0.000108161915540759,7.93201232545215,Yes,No,3
