source_id,canonical_accession,source_identifier,source_analysis_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate
PXD017052_SEER_BROAD,Q9NQC3,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,PXD017052:Sheet1:218:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,218,Sheet1!BR218
PXD017052_SEER_BROAD,Q9NQC3,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,PXD017052:Sheet1:218:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,218,Sheet1!BS218
PXD017052_SEER_BROAD,Q9NQC3,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,PXD017052:Sheet1:218:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,218,Sheet1!BT218
PXD017052_SEER_BROAD,Q9NQC3,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,PXD017052:Sheet1:218:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,218,Sheet1!BU218
PXD017052_SEER_BROAD,Q9NQC3,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,PXD017052:Sheet1:218:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,218,Sheet1!BV218
PXD017052_SEER_BROAD,Q9NQC3,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,PXD017052:Sheet1:218:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,218,Sheet1!BW218
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BO256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BP256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BQ256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BR256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,256,Sheet1!BS256
PXD017052_SEER_BROAD,O00151,O00151,PXD017052:Sheet1:256:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,256,Sheet1!BT256
