source_id,source_identifier,candidate_tokens,resolved_canonical_accession,resolution_status
PXD017052_SEER_BROAD,A0A075B7D0,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A087WTK0;A0A087WVC6;Q12913;Q12913-2,accession:Q12913,Q12913,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087WUI2;P22626-2;P22626,accession:P22626,P22626,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087WUQ6;P07203;A0A2R8Y6B6;A0A494C1C9;A0A494C118;P07203-2,accession:P07203,P07203,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087WUZ3;Q01082-3;Q01082-2;Q01082,accession:Q01082,Q01082,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087WVQ6;Q00610-2;Q00610;J3KS13;P53675-2;P53675;A0A087WX41;A0A087WV74;A0A087WXH4,accession:J3KS13;accession:P53675;accession:Q00610,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A087WW40;Q9Y371-3;Q9Y371;Q9Y371-2,accession:Q9Y371,Q9Y371,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087WWC0;A0A087X1F1;A0A087X1M5;A0A087X0U8;A0A087WXC9;Q13477-2;Q13477-3;Q13477;U3KQ59;Q13477-4,accession:Q13477;accession:U3KQ59,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A087WWN2;Q13619,accession:Q13619,Q13619,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087WXS7;O43681,accession:O43681,O43681,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A087X054;A0A494C039;Q9Y4L1;A0A087WWI4;K7EQK2;Q9Y4L1-2,accession:K7EQK2;accession:Q9Y4L1,,AMBIGUOUS_MULTI_ACCESSION_GROUP
