stratum_id,model_id,external_observation_count,external_measurement_batch_count,biological_unit_count,primary_metric_status,subject_equal_mean_spearman,subject_equal_mean_mae,subject_equal_mean_rmse,measurement_batch_count,batch_weighted_mean_spearman,subject_equal_mean_spearman_lower_95,subject_equal_mean_spearman_upper_95,subject_equal_mean_mae_lower_95,subject_equal_mean_mae_upper_95,subject_equal_mean_rmse_lower_95,subject_equal_mean_rmse_upper_95
GE5_ALL,CONSTANT_TRAINING_MEAN,259,30,30.0,UNDEFINED_CONSTANT_PREDICTION,,0.35509382288843094,0.3782952533601576,30.0,,,,0.34701877178332396,0.3635421352201832,0.37123819131521146,0.38527398781722644
GE10_ONLY,CONSTANT_TRAINING_MEAN,53,5,5.0,UNDEFINED_CONSTANT_PREDICTION,,0.3652992525590341,0.3831439938268271,5.0,,,,0.34465990079216613,0.3859035299555588,0.36243159683975296,0.4036375193036233
GE5_ALL,SEQUENCE_RIDGE_FULL,259,30,30.0,DEFINED,0.4347488683780774,0.36782777705348957,0.3996968325729549,30.0,0.4347488683780774,0.35230814922162806,0.5051861255653346,0.35702452616109076,0.37984564899681544,0.3871676831123165,0.41249634726661377
GE10_ONLY,SEQUENCE_RIDGE_FULL,53,5,5.0,DEFINED,0.27878121878121875,0.37267748547650353,0.41533597871320416,5.0,0.27878121878121875,0.1781818181818182,0.3721078921078921,0.3447436774140962,0.39720216611238646,0.39145078849854825,0.4377448406670945
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,259,30,30.0,DEFINED,0.20229811958933105,0.37376063066443843,0.40448780569149034,30.0,0.20229811958933105,0.11199385785278901,0.2774688779206714,0.3631902237874544,0.3842066537258951,0.39248886173792075,0.41654276850384964
GE10_ONLY,SEQUENCE_RIDGE_COMPOSITION_ONLY,53,5,5.0,DEFINED,0.12760572760572758,0.3745949471503175,0.4152673197349265,5.0,0.12760572760572758,0.0012121212121212117,0.2761505161505161,0.3431354563579686,0.4017835537872734,0.3860981671610642,0.4407993899089752
