external_target_observation_id,source_id,laboratory_anchor,canonical_accession,biological_unit_id,measurement_batch_id,technical_replicate_count,source_coordinates,author_positive_values,rank_percentile_mean_across_positive_technical_replicates,measurement_batch_positive_unique_target_count,coverage_stratum
R4PXD064962:PT_D1_20:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_20,PT_D1_20,2,LFQ intensity PT_D1_20_1_S1-E1_6673:149;LFQ intensity PT_D1_20_2_S1-F1_6674:149,2677400.0;2818200.0,0.8548274253731343,7,GE5_LT10
R4PXD064962:PT_D1_20:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_20,PT_D1_20,2,LFQ intensity PT_D1_20_1_S1-E1_6673:160;LFQ intensity PT_D1_20_2_S1-F1_6674:160,113970.0;135410.0,0.43446828358208955,7,GE5_LT10
R4PXD064962:PT_D1_20:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_20,PT_D1_20,2,LFQ intensity PT_D1_20_1_S1-E1_6673:178;LFQ intensity PT_D1_20_2_S1-F1_6674:178,2257000.0;2468700.0,0.8344605099502487,7,GE5_LT10
R4PXD064962:PT_D1_20:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_20,PT_D1_20,1,LFQ intensity PT_D1_20_1_S1-E1_6673:322,6148.3,0.0,7,GE5_LT10
R4PXD064962:PT_D1_20:P13796,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P13796,PT_D1_20,PT_D1_20,1,LFQ intensity PT_D1_20_2_S1-F1_6674:241,23536.0,0.06467661691542288,7,GE5_LT10
R4PXD064962:PT_D1_20:P30041,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P30041,PT_D1_20,PT_D1_20,2,LFQ intensity PT_D1_20_1_S1-E1_6673:283;LFQ intensity PT_D1_20_2_S1-F1_6674:283,36111.0;27420.0,0.11532182835820895,7,GE5_LT10
R4PXD064962:PT_D1_20:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_20,PT_D1_20,2,LFQ intensity PT_D1_20_1_S1-E1_6673:385;LFQ intensity PT_D1_20_2_S1-F1_6674:385,30191.0;29473.0,0.10206778606965174,7,GE5_LT10
R4PXD064962:PT_D1_23:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_23,PT_D1_23,2,LFQ intensity PT_D1_23_1_S1-G1_6687:149;LFQ intensity PT_D1_23_2_S1-H1_6688:149,1728400.0;1710900.0,0.8195079002474777,10,GE10
R4PXD064962:PT_D1_23:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_23,PT_D1_23,2,LFQ intensity PT_D1_23_1_S1-G1_6687:160;LFQ intensity PT_D1_23_2_S1-H1_6688:160,238380.0;153890.0,0.45633447553778794,10,GE10
R4PXD064962:PT_D1_23:P05556,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P05556,PT_D1_23,PT_D1_23,1,LFQ intensity PT_D1_23_1_S1-G1_6687:173,21134.0,0.04411764705882353,10,GE10
R4PXD064962:PT_D1_23:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_23,PT_D1_23,2,LFQ intensity PT_D1_23_1_S1-G1_6687:178;LFQ intensity PT_D1_23_2_S1-H1_6688:178,1839400.0;1786200.0,0.8292642299638302,10,GE10
R4PXD064962:PT_D1_23:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_23,PT_D1_23,1,LFQ intensity PT_D1_23_1_S1-G1_6687:202,14811.0,0.024509803921568627,10,GE10
R4PXD064962:PT_D1_23:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_23,PT_D1_23,1,LFQ intensity PT_D1_23_2_S1-H1_6688:322,2400.3,0.0048543689320388345,10,GE10
