stratum_id,model_id,biological_unit_id,measurement_batch_id,protein_count,spearman,mae,rmse
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_133,T_D1_133,9,,0.37782160204486237,0.40564731707347307
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_138,T_D1_138,9,,0.37046344601649367,0.3931713294708429
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_165,T_D1_165,9,,0.3485940337687366,0.3740130127262123
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_173,T_D1_173,9,,0.34055530554138946,0.3762033128880786
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_186,T_D1_186,8,,0.3452305078392718,0.37276755136636086
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_119a,T_D3_119a,8,,0.3534791881096092,0.3737635491958827
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_119b,T_D3_119b,9,,0.35118580450509856,0.36955343784178507
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_155,T_D3_155,6,,0.3627152517144934,0.36866404155669164
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_178,T_D3_178,8,,0.34681854919269545,0.3766230534288333
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_198,T_D3_198,13,,0.3404455109539669,0.3563094280448808
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D1_16,PT_D1_16,10,,0.39124970030346296,0.40330978915857124
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D1_23,PT_D1_23,10,,0.38487639647656163,0.4063135219353946
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D1_33,PT_D1_33,10,,0.3772654562177451,0.39894097433018466
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D3_41,PT_D3_41,10,,0.3326591988434341,0.3508462556651042
GE10_ONLY,CONSTANT_TRAINING_MEAN,T_D3_198,T_D3_198,13,,0.3404455109539669,0.3563094280448808
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_16,PT_D1_16,10,0.38181818181818183,0.3891730269625925,0.4266386701119052
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_18,PT_D1_18,8,0.5238095238095238,0.29746139884773654,0.32757779268445375
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_20,PT_D1_20,7,0.75,0.32825177165652997,0.33529668202233326
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_23,PT_D1_23,10,0.2727272727272727,0.4131527251009758,0.45271442666087586
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_33,PT_D1_33,10,0.23636363636363636,0.3779601364187114,0.42832833995090785
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_34,PT_D1_34,7,0.35714285714285715,0.3959525268319993,0.4372637072716131
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_48,PT_D1_48,9,0.3,0.340118779381835,0.39258904807868905
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_51,PT_D1_51,9,0.65,0.34309130915384173,0.3663692509795241
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_73,PT_D1_73,9,0.4,0.38076632514084324,0.4207295763219512
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_81,PT_D1_81,8,0.47619047619047616,0.3626781908356892,0.39229445263413254
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_06,PT_D3_06,8,0.3333333333333333,0.39003661291176106,0.4311380275874673
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_14,PT_D3_14,8,0.16666666666666666,0.3645821745758268,0.41012280005410306
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_22,PT_D3_22,9,0.510464719340991,0.43095000181058174,0.46117678846968313
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_28,PT_D3_28,9,0.7333333333333333,0.33133891021896894,0.35086126926571753
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_30,PT_D3_30,9,0.2833333333333333,0.37534021821512636,0.409085683930988
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_37,PT_D3_37,8,0.6190476190476191,0.3409174963703978,0.35938157926703407
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_41,PT_D3_41,10,0.09090909090909091,0.35737962829641273,0.40100625608602136
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_42,PT_D3_42,8,0.47619047619047616,0.3639911112524912,0.39112051330555186
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_85,PT_D3_85,7,0.6071428571428571,0.3650495472743014,0.37779540615245416
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D3_96,PT_D3_96,8,0.5952380952380952,0.343679121230968,0.36808827326706656
