stratum_id,model_id,biological_unit_id,spearman,mae,rmse
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_16,,0.39124970030346296,0.40330978915857124
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_18,,0.32149902038260103,0.3461973964931811
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_20,,0.3589605877133512,0.38140601591643797
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_23,,0.38487639647656163,0.4063135219353946
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_33,,0.3772654562177451,0.39894097433018466
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_34,,0.3675367969773357,0.3999823425997901
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_48,,0.3534458949562145,0.37888562195945485
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_51,,0.34882421441959477,0.36693249081576923
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_73,,0.3996108333469172,0.4177932405630425
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D1_81,,0.34846459381606004,0.36354139339327235
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_06,,0.35601241496872144,0.3762132602446784
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_14,,0.30206536266791817,0.33932214910543507
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_22,,0.4032478261412992,0.412498937173154
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_28,,0.3849331726991073,0.4063396236017578
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_30,,0.3559355659971285,0.3799603987311171
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_37,,0.3298826244805316,0.36558197008202964
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_41,,0.3326591988434341,0.3508462556651042
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_42,,0.3250934711373681,0.3614379659828643
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_85,,0.33450011358936427,0.36084077688004296
GE5_ALL,CONSTANT_TRAINING_MEAN,PT_D3_96,,0.3394422418315913,0.36579744258040725
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_133,,0.37782160204486237,0.40564731707347307
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_138,,0.37046344601649367,0.3931713294708429
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_165,,0.3485940337687366,0.3740130127262123
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_173,,0.34055530554138946,0.3762033128880786
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D1_186,,0.3452305078392718,0.37276755136636086
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_119a,,0.3534791881096092,0.3737635491958827
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_119b,,0.35118580450509856,0.36955343784178507
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_155,,0.3627152517144934,0.36866404155669164
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_178,,0.34681854919269545,0.3766230534288333
GE5_ALL,CONSTANT_TRAINING_MEAN,T_D3_198,,0.3404455109539669,0.3563094280448808
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D1_16,,0.39124970030346296,0.40330978915857124
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D1_23,,0.38487639647656163,0.4063135219353946
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D1_33,,0.3772654562177451,0.39894097433018466
GE10_ONLY,CONSTANT_TRAINING_MEAN,PT_D3_41,,0.3326591988434341,0.3508462556651042
GE10_ONLY,CONSTANT_TRAINING_MEAN,T_D3_198,,0.3404455109539669,0.3563094280448808
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_16,0.38181818181818183,0.3891730269625925,0.4266386701119052
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_18,0.5238095238095238,0.29746139884773654,0.32757779268445375
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_20,0.75,0.32825177165652997,0.33529668202233326
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_23,0.2727272727272727,0.4131527251009758,0.45271442666087586
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_33,0.23636363636363636,0.3779601364187114,0.42832833995090785
GE5_ALL,SEQUENCE_RIDGE_FULL,PT_D1_34,0.35714285714285715,0.3959525268319993,0.4372637072716131
