analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,sequence_coverage_percent,peptide_spectrum_matches,number_of_peptides,number_of_unique_peptides,replicate_1,replicate_2,replicate_3,coefficient_of_variation_percent
PMC9633814:Final Prot:6,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,6,Final Prot!A6:K6,8,P02768,NA,92.120000000000005,1299,NA,223,0.16902468753837599,0.176480163001592,0.17617153793196599,1.4004953306205801
PMC9633814:Final Prot:7,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,7,Final Prot!A7:K7,8,ALBU_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:8,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,8,Final Prot!A8:K8,8,P35579,NA,60.086666666666702,458,NA,178,0.0155300813072572,0.0170052354211092,0.017147764235720599,3.12246511629901
PMC9633814:Final Prot:9,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,9,Final Prot!A9:K9,8,Q9Y490,NA,54.336666666666702,281,NA,122,0.010468649719423901,0.010379148670481,0.0097007096946078106,2.3809062637416001
PMC9633814:Final Prot:10,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,10,Final Prot!A10:K10,8,P02671,NA,46.420000000000002,515,NA,98,0.057680885813099499,0.052286019693270402,0.055740729576539097,2.85627449598686
PMC9633814:Final Prot:11,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,11,Final Prot!A11:K11,8,P02675,NA,82.549999999999997,389,NA,113,0.027679696614635398,0.036079991430849598,0.030586525124755098,7.8317259933788099
PMC9633814:Final Prot:12,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,12,Final Prot!A12:K12,8,P02647,NA,89.386666666666699,468,NA,106,0.043781256521462003,0.044735265472850901,0.045093887194064403,0.87950082800148899
PMC9633814:Final Prot:13,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,13,Final Prot!A13:K13,8,P21333,NA,39.340000000000003,227,NA,87,0.0065447162579929203,0.0069292439773389397,0.0061111160874989297,3.6198187092387899
PMC9633814:Final Prot:14,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,14,Final Prot!A14:K14,8,P21333-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:15,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,15,Final Prot!A15:K15,8,P02679,NA,63.024999999999999,287,NA,72,0.017214161602996499,0.017182622440542701,NA,0.091692183821372994
PMC9633814:Final Prot:16,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,16,Final Prot!A16:K16,8,P02679-2,NA,65.450000000000003,294,NA,74,NA,NA,0.0175950552266026,NA
PMC9633814:Final Prot:17,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,17,Final Prot!A17:K17,8,Q14624,NA,54.196666666666701,240,NA,76,0.010877565017619399,0.010570938733608501,0.0111010488554444,1.4162012163770901
PMC9633814:Final Prot:18,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,18,Final Prot!A18:K18,8,P16157,NA,46.183333333333302,165,NA,70,0.0041915323964696197,0.00401455610594415,0.0043992535045737999,2.64580036388175
PMC9633814:Final Prot:19,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,19,Final Prot!A19:K19,8,P16157-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:20,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,20,Final Prot!A20:K20,8,P16157-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:21,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,21,Final Prot!A21:K21,8,P16157-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:22,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,22,Final Prot!A22:K22,8,P16157-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:23,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,23,Final Prot!A23:K23,8,P16157-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:24,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,24,Final Prot!A24:K24,8,P16157-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:25,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,25,Final Prot!A25:K25,8,P16157-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:26,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,26,Final Prot!A26:K26,8,P16157-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:27,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,27,Final Prot!A27:K27,8,P16157-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:28,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,28,Final Prot!A28:K28,8,P16157-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:29,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,29,Final Prot!A29:K29,8,P16157-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:30,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,30,Final Prot!A30:K30,8,P01871,NA,68.870000000000005,270,NA,62,0.025305737410971502,0.024273319332720901,0.0243540818224081,1.34513345123663
PMC9633814:Final Prot:31,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,31,Final Prot!A31:K31,8,P02549,NA,42.799999999999997,186,NA,89,0.0041509818024765398,0.0037055890826561402,0.0037194049804724701,3.7892959417311198
PMC9633814:Final Prot:32,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,32,Final Prot!A32:K32,8,P02549-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:33,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,33,Final Prot!A33:K33,8,P60709,NA,80.176666666666705,222,NA,68,0.019155763923267,0.017431214678296999,0.0207279730706686,4.98315416320475
PMC9633814:Final Prot:34,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,34,Final Prot!A34:K34,8,P11277,NA,41.460000000000001,163,NA,75,0.0037333588602594002,0.0041176728413768,0.0035688314463312699,4.2719342557459603
PMC9633814:Final Prot:35,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,35,Final Prot!A35:K35,8,P02656,NA,79.799999999999997,478,NA,67,0.26135155273611299,0.26457441408739502,0.27081682155515202,1.0461394337508201
PMC9633814:Final Prot:36,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,36,Final Prot!A36:K36,8,B0YIW2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:37,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,37,Final Prot!A37:K37,8,P10909-2,NA,48.700000000000003,314,NA,61,0.033481110695829201,NA,NA,NA
PMC9633814:Final Prot:38,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,38,Final Prot!A38:K38,8,P07996,NA,35.869999999999997,153,NA,54,0.0065129106210323803,0.0057176944182832402,0.0063207198403787404,3.8739037915378201
PMC9633814:Final Prot:39,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,39,Final Prot!A39:K39,8,P04004,NA,41.143333333333302,194,NA,53,0.016906891252884498,0.0179525248864917,0.018009203404748399,2.03352009605877
PMC9633814:Final Prot:40,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,40,Final Prot!A40:K40,8,P01024,NA,40.469999999999999,137,NA,60,0.0054386866539756799,0.0042502111302996802,0.0044850212054595804,7.6916170222290798
PMC9633814:Final Prot:41,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,41,Final Prot!A41:K41,8,CO3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:42,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,42,Final Prot!A42:K42,8,P02649,NA,84.543333333333294,162,NA,50,0.0101561365386097,0.0094354800143525899,0.0115958685175563,6.1088094777394701
PMC9633814:Final Prot:43,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,43,Final Prot!A43:K43,8,P02774,NA,72.219999999999999,191,NA,42,0.0120051126939474,0.0108246368143146,0.0098218985882846006,5.7969700500927397
PMC9633814:Final Prot:44,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,44,Final Prot!A44:K44,8,P02774-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:45,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,45,Final Prot!A45:K45,8,D6RF35,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:46,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,46,Final Prot!A46:K46,8,P02730,NA,34.176666666666698,136,NA,36,0.0078733318361632505,0.0081343149362789208,0.0060183791851914602,9.0723013572252391
PMC9633814:Final Prot:47,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,47,Final Prot!A47:K47,8,P06396,NA,49.106666666666698,81,NA,37,0.00218335973685857,0.0025653516681337098,0.0022680108956211701,4.9522773041836299
PMC9633814:Final Prot:48,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,48,Final Prot!A48:K48,8,P06727,NA,75.843333333333305,116,NA,45,0.0044068778863525799,0.0044164594464563504,0.0038598717132759699,4.35110183040132
PMC9633814:Final Prot:49,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,49,Final Prot!A49:K49,8,P0C0L4,NA,23.539999999999999,90,NA,34,0.0027990577260629001,0.0031453588748831,NA,5.8256540896728302
PMC9633814:Final Prot:50,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,50,Final Prot!A50:K50,8,P0C0L4-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:51,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,51,Final Prot!A51:K51,8,A0A140TA32,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:52,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,52,Final Prot!A52:K52,8,A0A140TA49,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:53,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,53,Final Prot!A53:K53,8,A0A0G2JPR0,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:54,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,54,Final Prot!A54:K54,8,P0DJI8,NA,79.510000000000005,214,NA,40,0.017530028580245501,0.020782333719805399,0.022181755607054199,6.8331746839536702
PMC9633814:Final Prot:55,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,55,Final Prot!A55:K55,8,P04114,NA,13.046666666666701,84,NA,48,0.00153487463808366,0.00133850013920314,0.0011831928675638101,7.5250007209436101
PMC9633814:Final Prot:56,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,56,Final Prot!A56:K56,8,P08514-2,NA,31.84,99,NA,31,0.0056437570168791701,NA,NA,NA
PMC9633814:Final Prot:57,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,57,Final Prot!A57:K57,8,P02787,NA,60.456666666666699,106,NA,42,0.0032900643368655399,0.00325559760729641,0.0030243968208557501,2.61462229981437
PMC9633814:Final Prot:58,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,58,Final Prot!A58:K58,8,P00738,NA,66.5833333333333,106,NA,35,0.0031688733343312198,0.00313095430710939,0.0035699991668003001,4.2692433771306
PMC9633814:Final Prot:59,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,59,Final Prot!A59:K59,8,P00736,NA,53.969999999999999,70,NA,37,0.00165179681151107,NA,0.00175228596009335,2.9520183651386498
PMC9633814:Final Prot:60,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,60,Final Prot!A60:K60,8,B4DPQ0,NA,54.520000000000003,77,NA,39,NA,0.0018941247817984899,NA,NA
PMC9633814:Final Prot:61,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,61,Final Prot!A61:K61,8,A0A3B3ISR2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:62,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,62,Final Prot!A62:K62,8,P01876,NA,60.149999999999999,96,NA,28,0.0064257736005601598,0.0053300769037051597,0.0064317203305387996,6.0408404295580302
PMC9633814:Final Prot:63,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,63,Final Prot!A63:K63,8,A0A286YEY1,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:64,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,64,Final Prot!A64:K64,8,P05106,NA,50.296666666666702,87,NA,36,0.00288278667604174,0.00273005533769188,0.0030119051441151799,2.8334101398087901
PMC9633814:Final Prot:65,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,65,Final Prot!A65:K65,8,P68366,NA,50.816666666666698,68,NA,26,0.0025741626938933001,0.0026529444635378201,0.0026357922784144699,0.91263933979546596
PMC9633814:Final Prot:66,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,66,Final Prot!A66:K66,8,P68366-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:67,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,67,Final Prot!A67:K67,8,P02652,NA,77,81,NA,26,0.0045951601640630297,0.0059810615002739102,0.0050931796885231601,7.7600432150290199
PMC9633814:Final Prot:68,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,68,Final Prot!A68:K68,8,V9GYM3,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:69,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,69,Final Prot!A69:K69,8,O75636,NA,49.159999999999997,109,NA,24,0.0069611891136891401,0.0066226556839300002,0.00863880165737233,8.4148593993737908
PMC9633814:Final Prot:70,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,70,Final Prot!A70:K70,8,P02655,NA,78.219999999999999,87,NA,22,0.0068317926914579904,0.0072014826568480104,0.0070540256502571296,1.5285814382109399
PMC9633814:Final Prot:71,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,71,Final Prot!A71:K71,8,K7ER74,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:72,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,72,Final Prot!A72:K72,8,P12259,NA,18.57,68,NA,35,0.0013117725879755,0.0015974437434145301,0.00188790313920781,10.401021701350899
PMC9633814:Final Prot:73,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,73,Final Prot!A73:K73,8,A0A0A0MRJ7,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:74,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,74,Final Prot!A74:K74,8,P02749,NA,65.313333333333304,81,NA,30,0.0024416004639482201,0.0023962653527589599,0.00261159819686113,2.6394508538657599
PMC9633814:Final Prot:75,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,75,Final Prot!A75:K75,8,P19823,NA,29.949999999999999,47,NA,24,0.00130919199788576,0.00108915974951641,0.0012770845409012801,5.6011040827336496
PMC9633814:Final Prot:76,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,76,Final Prot!A76:K76,8,Q5T985,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:77,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,77,Final Prot!A77:K77,8,P07437,NA,52.780000000000001,51,NA,20,0.0016721462637485601,0.0012460014547360601,0.00147752542644178,8.4062939460980495
PMC9633814:Final Prot:78,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,78,Final Prot!A78:K78,8,TRYP_PIG,NA,47.189999999999998,197,NA,35,0.052763720053798903,0.047730528304147701,0.0404678935838255,7.5954333557617604
PMC9633814:Final Prot:79,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,79,Final Prot!A79:K79,8,P02765,NA,50.409999999999997,92,NA,25,0.0031477685071745099,0.0033444456880911601,0.00284513424998662,4.6656682129939098
PMC9633814:Final Prot:80,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,80,Final Prot!A80:K80,8,C9JV77,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:81,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,81,Final Prot!A81:K81,8,P60660-2,NA,77.706666666666706,46,NA,16,0.0032935763317948098,0.00020920163182426701,0.0026332015121715898,45.8433370707385
PMC9633814:Final Prot:82,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,82,Final Prot!A82:K82,8,P01042-2,NA,61.046666666666702,53,NA,27,0.0013819919728175901,0.00119695012300599,0.00124593334140742,4.3415771624514301
PMC9633814:Final Prot:83,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,83,Final Prot!A83:K83,8,Q9H4B7,NA,46.933333333333302,46,NA,22,0.0011975636386076299,0.0016026959915865699,0.0014605993267280599,8.3557731519877798
PMC9633814:Final Prot:84,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,84,Final Prot!A84:K84,8,P06753-2,NA,65.323333333333295,56,NA,19,0.0021279424027034902,0.00188765221650301,0.0020718035832365199,3.5765439556410099
PMC9633814:Final Prot:85,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,85,Final Prot!A85:K85,8,A0A087WWU8,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:86,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,86,Final Prot!A86:K86,8,P01857,NA,46.060000000000002,77,NA,22,0.0034877195477688002,0.00295000370627188,0.0034980622329407801,5.4647020128668498
PMC9633814:Final Prot:87,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,87,Final Prot!A87:K87,8,Q13201,NA,21.739999999999998,42,NA,21,0.000905560742308852,0.00067730288345898095,0.00062454766644290502,11.7196860649596
PMC9633814:Final Prot:88,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,88,Final Prot!A88:K88,8,O43866,NA,72.719999999999999,37,NA,16,0.0017330422395865101,0.0017968698595107299,0.0016834089869134201,1.8896970440189
PMC9633814:Final Prot:89,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,89,Final Prot!A89:K89,8,P00747,NA,37.450000000000003,41,NA,25,0.00041713530724067101,0.00056933757504957095,0.00062815628504691299,11.681940598079599
PMC9633814:Final Prot:90,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,90,Final Prot!A90:K90,8,P27169,NA,50.2366666666667,38,NA,17,0.000970482346148455,0.00108588670580263,0.0010193885653902201,3.2619418641462201
PMC9633814:Final Prot:91,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,91,Final Prot!A91:K91,8,Q93084,NA,19.1533333333333,26,NA,16,0.00064738315483880505,0.00046786149787916999,0.00040442970026356798,14.362524506035401
PMC9633814:Final Prot:92,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,92,Final Prot!A92:K92,8,Q93084-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:93,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,93,Final Prot!A93:K93,8,Q93084-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:94,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,94,Final Prot!A94:K94,8,Q93084-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:95,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,95,Final Prot!A95:K95,8,Q93084-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:96,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,96,Final Prot!A96:K96,8,Q93084-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:97,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,97,Final Prot!A97:K97,8,Q93084-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:98,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,98,Final Prot!A98:K98,8,P04275,NA,9.0533333333333292,32,NA,19,0.00049760938944462595,0.00056631540552437901,0.00050197570330059299,4.2550751659368302
PMC9633814:Final Prot:99,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,99,Final Prot!A99:K99,8,P02766,NA,80.269999999999996,39,NA,12,0.00068683713717481202,0.00100026788218369,0.00094213841854770704,10.983678550452399
PMC9633814:Final Prot:100,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,100,Final Prot!A100:K100,8,P27105,NA,38.539999999999999,32,NA,12,0.00080275749250032001,0.00106772457873215,0.00077123995498693898,10.676735753712499
PMC9633814:Final Prot:101,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,101,Final Prot!A101:K101,8,P02790,NA,44.8066666666667,54,NA,18,0.00115786981696122,0.00124813505647381,0.0013171323568863501,3.7155421883947501
PMC9633814:Final Prot:102,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,102,Final Prot!A102:K102,8,P01834,NA,92.8333333333333,48,NA,14,0.0015293075866966699,0.0015112396759237,0.00146716086663236,1.2283335716760999
PMC9633814:Final Prot:103,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,103,Final Prot!A103:K103,8,P16284,NA,22.18,18,NA,10,0.00047109774459170803,0.00023775376477903901,0.00031223349256197702,20.217655726954199
PMC9633814:Final Prot:104,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,104,Final Prot!A104:K104,8,P16284-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:105,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,105,Final Prot!A105:K105,8,P16284-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:106,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,106,Final Prot!A106:K106,8,P16284-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:107,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,107,Final Prot!A107:K107,8,P16284-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:108,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,108,Final Prot!A108:K108,8,P16284-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMC9633814:Final Prot:109,10.1038/s41467-022-34438-8,PMC9633814,CC-BY-4.0,supplementary_data_1_xlsx,Final Prot,109,Final Prot!A109:K109,8,P01591,NA,70.230000000000004,51,NA,16,0.0030143281304681299,0.00268714725510092,0.0025810923456010999,4.7225042313930103
