outer_fold_id,held_out_laboratory_anchor,model_id,held_out_observation_count,held_out_measurement_batch_count,primary_metric_status,mean_spearman,mean_spearman_lower_95,mean_spearman_upper_95,mean_mae,mean_mae_lower_95,mean_mae_upper_95,mean_rmse,mean_rmse_lower_95,mean_rmse_upper_95
T250_OUTER_01,"Dalian University of Technology, China",CONSTANT_TRAINING_MEAN,40,6,UNDEFINED_CONSTANT_PREDICTION,,,,0.26558980867857357,0.2510639612210616,0.2809567092159972,0.318963019438924,0.3091472620778502,0.33098381372258895
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_FULL,40,6,DEFINED,0.9261904761904761,0.8988095238095237,0.9523809523809524,0.1690570667855815,0.14940230321714296,0.19155702319830092,0.2018909968684083,0.1864620375321356,0.22094250194401457
T250_OUTER_01,"Dalian University of Technology, China",SEQUENCE_RIDGE_COMPOSITION_ONLY,40,6,DEFINED,0.9261904761904761,0.8988095238095237,0.9523809523809524,0.16587415339741604,0.14429322410574455,0.1912625658281314,0.19871076767083942,0.18216099924675605,0.2192644481974878
T250_OUTER_02,University College Dublin / Conway Institute,CONSTANT_TRAINING_MEAN,244,30,UNDEFINED_CONSTANT_PREDICTION,,,,0.25726084470875443,0.24428843026495967,0.2720489165790167,0.2892399595998622,0.27884430796656773,0.3014676884659014
T250_OUTER_02,University College Dublin / Conway Institute,SEQUENCE_RIDGE_FULL,244,30,DEFINED,0.686509578323097,0.6376468785761996,0.7352043497629275,0.17364327188289727,0.15374013027039962,0.19263521119764043,0.20914835873946677,0.18667966578231085,0.23357902244289375
T250_OUTER_02,University College Dublin / Conway Institute,SEQUENCE_RIDGE_COMPOSITION_ONLY,244,30,DEFINED,0.686509578323097,0.6394750890760975,0.7387238810645885,0.1736452377033319,0.15453429709048444,0.1928148882342889,0.20915024691004663,0.18737335562540786,0.23011741552734005
T250_OUTER_03,University of Edinburgh-led controlled human exposure study,CONSTANT_TRAINING_MEAN,306,49,UNDEFINED_CONSTANT_PREDICTION,,,,0.24291770860799008,0.23030781444529053,0.2555067451260011,0.2887386264323395,0.2757920067403011,0.3023616901105704
T250_OUTER_03,University of Edinburgh-led controlled human exposure study,SEQUENCE_RIDGE_FULL,306,49,DEFINED,0.684548104956268,0.6164723032069971,0.7443148688046648,0.19242186745349996,0.1785344100546213,0.20601260829216556,0.23616593665538327,0.22160176575793333,0.2512494693356561
T250_OUTER_03,University of Edinburgh-led controlled human exposure study,SEQUENCE_RIDGE_COMPOSITION_ONLY,306,49,DEFINED,0.684548104956268,0.6183345481049562,0.7491253644314868,0.19051074654433212,0.17797274340015812,0.20353414784173335,0.23319710755125322,0.21991097102765766,0.24689420083520847
T250_OUTER_04,University of Southern Denmark / Russian Academy of Sciences study,CONSTANT_TRAINING_MEAN,193,30,UNDEFINED_CONSTANT_PREDICTION,,,,0.29432220713411616,0.28182679262673255,0.30590983760526363,0.3344492819478838,0.3214755873491073,0.34709524995398294
T250_OUTER_04,University of Southern Denmark / Russian Academy of Sciences study,SEQUENCE_RIDGE_FULL,193,30,DEFINED,0.7661904761904762,0.7150000000000001,0.8145297619047619,0.17968391488644656,0.16638061537403506,0.19348414336101707,0.220029682037417,0.20467477302198772,0.2358698006900305
T250_OUTER_04,University of Southern Denmark / Russian Academy of Sciences study,SEQUENCE_RIDGE_COMPOSITION_ONLY,193,30,DEFINED,0.7661904761904762,0.7140476190476192,0.814529761904762,0.1795602783489713,0.16638823155735052,0.1933160097695058,0.2199818646295702,0.20456066070701406,0.2346336475431155
