target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T250_9cc561c2bcf4989d9a9c,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P07996,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO36,,blood_proteomics_xlsx,usGO 0h vs 6h,45,R45,TSP1_HUMAN;A0A024R9Q1_HUMAN;A0PJG0_HUMAN;A0A0B6XK25_HUMAN;A8MZG1_HUMAN;TSP2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0011434771632607811,POSITIVE_FINITE,true,true,true,0.61111111111111116,19,PROHIBITED
T250_9cf616bbf505b7fcdb26,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,169,N169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0058109969386775234,POSITIVE_FINITE,true,true,true,0.66666666666666663,19,PROHIBITED
T250_9d4605723513da2415c3,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P26038,PMC6592156:PH:pH 6.1:Rep2,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,pH,152,pH!H152,P26038,pH 6.1,pH 6.1,Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,6.1948874999324772,POSITIVE_LOG_LFQ,true,true,false,0.14606741573033707,268,PROHIBITED
T250_9d79767840763a6ec70d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO43,,blood_proteomics_xlsx,sGO 0h v 6h,169,F169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0011493111167980626,POSITIVE_FINITE,true,true,true,0.58823529411764708,18,PROHIBITED
T250_9e116dfead3138eb3bec,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO66,,blood_proteomics_xlsx,sGO 0h v 6h,74,T74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.014235648105512502,POSITIVE_FINITE,true,true,true,0.94444444444444442,19,PROHIBITED
T250_9e3b8fd7172c11d58080,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P26038,PMC6592156:TEMPERATURE:30 °C:Rep3,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,Temperature,317,Temperature!M317,P26038,30 °C,30 °C,Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,6.1079425838014076,POSITIVE_LOG_LFQ,true,true,false,0.42815249266862171,342,PROHIBITED
T250_9e77bb514227084c6db4,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P26038,PMC6592156:TEMPERATURE:47 °C:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,Temperature,317,Temperature!S317,P26038,47 °C,47 °C,Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,6.8063549122572127,POSITIVE_LOG_LFQ,true,true,false,0.23357664233576642,275,PROHIBITED
T250_9ea35a9be647ef6b2824,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D1_81,PT_D1_81,protein_groups,,385,LFQ intensity PT_D1_81_2_S1-D3_6662:385,Q9HDC9,PT_D1_81_2_S1-D3_6662,,2,,61841.0,POSITIVE,true,true,false,0.5,15,PROHIBITED
T250_9ff31189336b4b72ca9d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO107,,blood_proteomics_xlsx,sGO 0h v 6h,514,L514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00087888937684510752,POSITIVE_FINITE,true,true,false,0.55555555555555558,19,PROHIBITED
T250_a0db8e71d82c0b2cdd4e,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P26038,PMC6592156:PH:pH 6.8:Rep2,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,pH,152,pH!L152,P26038,pH 6.8,pH 6.8,Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,6.393285304749706,POSITIVE_LOG_LFQ,true,true,false,0.39929328621908128,284,PROHIBITED
T250_a13bf5bd41940d2593ac,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO12,,blood_proteomics_xlsx,sGO 0h v 6h,514,O514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0026705879528526712,POSITIVE_FINITE,true,true,false,0.41176470588235292,18,PROHIBITED
T250_a1af3f5e242826f3f4da,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P06396,PT_D1_51,PT_D1_51,protein_groups,,178,LFQ intensity PT_D1_51_2_S1-H2_6690:178,P06396;CON__Q3SX14,PT_D1_51_2_S1-H2_6690,,2,,2369600.0,POSITIVE,true,true,true,1,17,PROHIBITED
T250_a2221205a9573a0340f0,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D3_41,PT_D3_41,protein_groups,,385,LFQ intensity PT_D3_41_2_S1-H3_6692:385,Q9HDC9,PT_D3_41_2_S1-H3_6692,,2,,42832.0,POSITIVE,true,true,false,0.11764705882352941,18,PROHIBITED
T250_a2982a5a03212d2df6f3,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,P26038,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,210,AF210,P26038,,PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,598788.415817874,POSITIVE,true,true,false,0.20000000000000001,16,PROHIBITED
T250_a2aedef8617e43d23dc9,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO112,,blood_proteomics_xlsx,usGO 0h vs 6h,170,M170,VTNC_HUMAN;B7Z553_HUMAN;J7HH10_HUMAN;F5GX75_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.01100775653767367,POSITIVE_FINITE,true,true,true,0.89473684210526316,20,PROHIBITED
T250_a36f400c9ee4285f2512,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D1_23,PT_D1_23,protein_groups,,149,LFQ intensity PT_D1_23_1_S1-G1_6687:149,P04004;CON__Q3ZBS7,PT_D1_23_1_S1-G1_6687,,1,,1728400.0,POSITIVE,true,true,true,0.8571428571428571,15,PROHIBITED
T250_a490b69395be7e43606f,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,Q9HDC9,PMC6592156:PH:pH 6.8:Rep1,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,pH,322,pH!K322,Q9HDC9,pH 6.8,pH 6.8,Rep1,LOG_CONVERTED_LFQ_ABUNDANCE,5.812101954890065,POSITIVE_LOG_LFQ,true,true,false,0.024221453287197232,290,PROHIBITED
T250_a4afabc7f9d1c8ec7276,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P05556,PMC6592156:PH:pH 6.1:Rep2,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,pH,73,pH!H73,P05556,pH 6.1,pH 6.1,Rep2,LOG_CONVERTED_LFQ_ABUNDANCE,7.0193433759689432,POSITIVE_LOG_LFQ,true,true,false,0.47940074906367042,268,PROHIBITED
T250_a4b49a7cea80fd89bbe6,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P07996,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO79,,blood_proteomics_xlsx,usGO 0h vs 6h,45,V45,TSP1_HUMAN;A0A024R9Q1_HUMAN;A0PJG0_HUMAN;A0A0B6XK25_HUMAN;A8MZG1_HUMAN;TSP2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0069315998427361657,POSITIVE_FINITE,true,true,true,0.88888888888888884,19,PROHIBITED
T250_a5332d4d04813277c6fc,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO113,,blood_proteomics_xlsx,sGO 0h v 6h,74,M74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.013166830898002092,POSITIVE_FINITE,true,true,true,0.94444444444444442,19,PROHIBITED
T250_a5a2302d4b6e5a702bb1,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO4,,blood_proteomics_xlsx,sGO 0h v 6h,514,C514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0018884797568626591,POSITIVE_FINITE,true,true,false,0.55555555555555558,19,PROHIBITED
T250_a5a9bdb2fd33cb21e200,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,T_D1_186,T_D1_186,protein_groups,,385,LFQ intensity T_D1_186_2_S1-D6_6668:385,Q9HDC9,T_D1_186_2_S1-D6_6668,,2,,50964.0,POSITIVE,true,true,false,0.46153846153846156,14,PROHIBITED
T250_a5da8f1d74c136a000eb,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D3_42,PT_D3_42,protein_groups,,385,LFQ intensity PT_D3_42_1_S1-G4_6693:385,Q9HDC9,PT_D3_42_1_S1-G4_6693,,1,,121910.0,POSITIVE,true,true,false,0.53846153846153844,14,PROHIBITED
T250_a5e622602022f7097c99,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D3_14,PT_D3_14,protein_groups,,149,LFQ intensity PT_D3_14_2_S1-D5_6666:149,P04004;CON__Q3ZBS7,PT_D3_14_2_S1-D5_6666,,2,,1689800.0,POSITIVE,true,true,true,0.80000000000000004,16,PROHIBITED
T250_a61a81c91632d285eaa8,PMC6592156_SILVER_NANOPARTICLE_HUMAN_PLASMA,University of Southern Denmark / Russian Academy of Sciences study,CC-BY-3.0,P06396,PMC6592156:PH:pH 7.7:Rep3,UNRESOLVED_PUBLIC_MAP,supplementary_data_2_lfq_xlsx,pH,5,pH!Q5,P06396,pH 7.7,pH 7.7,Rep3,LOG_CONVERTED_LFQ_ABUNDANCE,8.0750598600269683,POSITIVE_LOG_LFQ,true,true,false,0.81660899653979235,290,PROHIBITED
T250_a62ae2df9872b9bce90b,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P60174,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO31,,blood_proteomics_xlsx,sGO 0h v 6h,140,Q140,TPIS_HUMAN;Q2QD09_HUMAN;U3KPZ0_HUMAN;U3KPS5_HUMAN,,,,NORMALIZED_ABUNDANCE,3.5146289157069584e-05,POSITIVE_FINITE,true,true,true,0,19,PROHIBITED
T250_a6649aaa9185c14350db,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,T_D3_198,T_D3_198,protein_groups,,385,LFQ intensity T_D3_198_1_S1-C8_6671:385,Q9HDC9,T_D3_198_1_S1-C8_6671,,1,,23350.0,POSITIVE,true,true,false,0.20833333333333334,25,PROHIBITED
T250_a6b3b807e52ca5ffe942,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,T_D1_133,T_D1_133,protein_groups,,149,LFQ intensity T_D1_133_1_S1-A6_6651:149,P04004;CON__Q3ZBS7,T_D1_133_1_S1-A6_6651,,1,,2701900.0,POSITIVE,true,true,true,0.80000000000000004,16,PROHIBITED
T250_a6b8d852f8219876567e,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q9HDC9,PT_D1_51,PT_D1_51,protein_groups,,385,LFQ intensity PT_D1_51_1_S1-G2_6689:385,Q9HDC9,PT_D1_51_1_S1-G2_6689,,1,,40593.0,POSITIVE,true,true,false,0.5,17,PROHIBITED
T250_a7dc23cc39076a1b2067,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P07996,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO87,,blood_proteomics_xlsx,usGO 0h vs 6h,45,X45,TSP1_HUMAN;A0A024R9Q1_HUMAN;A0PJG0_HUMAN;A0A0B6XK25_HUMAN;A8MZG1_HUMAN;TSP2_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00296773286183719,POSITIVE_FINITE,true,true,true,0.63157894736842102,20,PROHIBITED
T250_a7dce38dfab6a1343dba,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO24,,blood_proteomics_xlsx,sGO 0h v 6h,169,E169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0055160634364099289,POSITIVE_FINITE,true,true,true,0.52941176470588236,18,PROHIBITED
