threshold,dimension,stratum,measurement_batch_count,qualified_batch_count,qualification_rate,biological_unit_count
10,biological_unit_id,020-0092,5,5,1.0,1
12,biological_unit_id,020-0092,5,5,1.0,1
15,biological_unit_id,020-0092,5,4,0.8,1
20,biological_unit_id,020-0092,5,4,0.8,1
25,biological_unit_id,020-0092,5,3,0.6,1
30,biological_unit_id,020-0092,5,2,0.4,1
5,biological_unit_id,020-0096,5,5,1.0,1
7,biological_unit_id,020-0096,5,5,1.0,1
10,biological_unit_id,020-0096,5,5,1.0,1
12,biological_unit_id,020-0096,5,5,1.0,1
15,biological_unit_id,020-0096,5,5,1.0,1
20,biological_unit_id,020-0096,5,4,0.8,1
25,biological_unit_id,020-0096,5,4,0.8,1
30,biological_unit_id,020-0096,5,4,0.8,1
5,biological_unit_id,020-0097,5,5,1.0,1
7,biological_unit_id,020-0097,5,5,1.0,1
10,biological_unit_id,020-0097,5,5,1.0,1
12,biological_unit_id,020-0097,5,5,1.0,1
15,biological_unit_id,020-0097,5,5,1.0,1
20,biological_unit_id,020-0097,5,5,1.0,1
25,biological_unit_id,020-0097,5,4,0.8,1
30,biological_unit_id,020-0097,5,2,0.4,1
5,biological_unit_id,020-0099,5,5,1.0,1
7,biological_unit_id,020-0099,5,5,1.0,1
10,biological_unit_id,020-0099,5,5,1.0,1
12,biological_unit_id,020-0099,5,5,1.0,1
15,biological_unit_id,020-0099,5,5,1.0,1
20,biological_unit_id,020-0099,5,5,1.0,1
25,biological_unit_id,020-0099,5,3,0.6,1
30,biological_unit_id,020-0099,5,2,0.4,1
5,biological_unit_id,020-0100,5,5,1.0,1
7,biological_unit_id,020-0100,5,5,1.0,1
10,biological_unit_id,020-0100,5,4,0.8,1
12,biological_unit_id,020-0100,5,4,0.8,1
15,biological_unit_id,020-0100,5,4,0.8,1
20,biological_unit_id,020-0100,5,3,0.6,1
25,biological_unit_id,020-0100,5,2,0.4,1
30,biological_unit_id,020-0100,5,1,0.2,1
5,biological_unit_id,021-0002,5,5,1.0,1
7,biological_unit_id,021-0002,5,5,1.0,1
10,biological_unit_id,021-0002,5,4,0.8,1
12,biological_unit_id,021-0002,5,3,0.6,1
15,biological_unit_id,021-0002,5,2,0.4,1
20,biological_unit_id,021-0002,5,2,0.4,1
25,biological_unit_id,021-0002,5,1,0.2,1
30,biological_unit_id,021-0002,5,0,0.0,0
5,biological_unit_id,021-0004,5,5,1.0,1
7,biological_unit_id,021-0004,5,5,1.0,1
10,biological_unit_id,021-0004,5,4,0.8,1
12,biological_unit_id,021-0004,5,4,0.8,1
15,biological_unit_id,021-0004,5,2,0.4,1
20,biological_unit_id,021-0004,5,2,0.4,1
25,biological_unit_id,021-0004,5,0,0.0,0
30,biological_unit_id,021-0004,5,0,0.0,0
5,biological_unit_id,022-0004,5,5,1.0,1
7,biological_unit_id,022-0004,5,5,1.0,1
10,biological_unit_id,022-0004,5,5,1.0,1
12,biological_unit_id,022-0004,5,3,0.6,1
15,biological_unit_id,022-0004,5,3,0.6,1
20,biological_unit_id,022-0004,5,3,0.6,1
25,biological_unit_id,022-0004,5,2,0.4,1
30,biological_unit_id,022-0004,5,1,0.2,1
5,biological_unit_id,022-0010,5,5,1.0,1
7,biological_unit_id,022-0010,5,5,1.0,1
10,biological_unit_id,022-0010,5,4,0.8,1
12,biological_unit_id,022-0010,5,3,0.6,1
15,biological_unit_id,022-0010,5,2,0.4,1
20,biological_unit_id,022-0010,5,2,0.4,1
25,biological_unit_id,022-0010,5,0,0.0,0
30,biological_unit_id,022-0010,5,0,0.0,0
5,biological_unit_id,022-0011,5,5,1.0,1
7,biological_unit_id,022-0011,5,5,1.0,1
10,biological_unit_id,022-0011,5,5,1.0,1
12,biological_unit_id,022-0011,5,5,1.0,1
15,biological_unit_id,022-0011,5,5,1.0,1
20,biological_unit_id,022-0011,5,4,0.8,1
25,biological_unit_id,022-0011,5,4,0.8,1
30,biological_unit_id,022-0011,5,2,0.4,1
5,biological_unit_id,022-0013,5,5,1.0,1
7,biological_unit_id,022-0013,5,5,1.0,1
10,biological_unit_id,022-0013,5,5,1.0,1
12,biological_unit_id,022-0013,5,5,1.0,1
15,biological_unit_id,022-0013,5,4,0.8,1
20,biological_unit_id,022-0013,5,2,0.4,1
25,biological_unit_id,022-0013,5,2,0.4,1
30,biological_unit_id,022-0013,5,0,0.0,0
5,biological_unit_id,022-0014,5,5,1.0,1
7,biological_unit_id,022-0014,5,5,1.0,1
10,biological_unit_id,022-0014,5,5,1.0,1
12,biological_unit_id,022-0014,5,5,1.0,1
15,biological_unit_id,022-0014,5,3,0.6,1
20,biological_unit_id,022-0014,5,3,0.6,1
25,biological_unit_id,022-0014,5,1,0.2,1
30,biological_unit_id,022-0014,5,1,0.2,1
5,biological_unit_id,022-0017,5,5,1.0,1
7,biological_unit_id,022-0017,5,5,1.0,1
10,biological_unit_id,022-0017,5,4,0.8,1
12,biological_unit_id,022-0017,5,4,0.8,1
15,biological_unit_id,022-0017,5,4,0.8,1
20,biological_unit_id,022-0017,5,3,0.6,1
25,biological_unit_id,022-0017,5,2,0.4,1
30,biological_unit_id,022-0017,5,0,0.0,0
5,biological_unit_id,023-0001,5,5,1.0,1
7,biological_unit_id,023-0001,5,5,1.0,1
10,biological_unit_id,023-0001,5,5,1.0,1
12,biological_unit_id,023-0001,5,5,1.0,1
15,biological_unit_id,023-0001,5,5,1.0,1
20,biological_unit_id,023-0001,5,4,0.8,1
25,biological_unit_id,023-0001,5,4,0.8,1
30,biological_unit_id,023-0001,5,2,0.4,1
5,biological_unit_id,023-0004,5,5,1.0,1
7,biological_unit_id,023-0004,5,5,1.0,1
10,biological_unit_id,023-0004,5,4,0.8,1
12,biological_unit_id,023-0004,5,3,0.6,1
15,biological_unit_id,023-0004,5,3,0.6,1
20,biological_unit_id,023-0004,5,0,0.0,0
25,biological_unit_id,023-0004,5,0,0.0,0
30,biological_unit_id,023-0004,5,0,0.0,0
5,biological_unit_id,024-0001,5,5,1.0,1
7,biological_unit_id,024-0001,5,5,1.0,1
10,biological_unit_id,024-0001,5,5,1.0,1
12,biological_unit_id,024-0001,5,5,1.0,1
15,biological_unit_id,024-0001,5,5,1.0,1
20,biological_unit_id,024-0001,5,3,0.6,1
25,biological_unit_id,024-0001,5,3,0.6,1
30,biological_unit_id,024-0001,5,2,0.4,1
5,biological_unit_id,029-0004,5,5,1.0,1
7,biological_unit_id,029-0004,5,5,1.0,1
10,biological_unit_id,029-0004,5,5,1.0,1
12,biological_unit_id,029-0004,5,5,1.0,1
15,biological_unit_id,029-0004,5,5,1.0,1
20,biological_unit_id,029-0004,5,4,0.8,1
25,biological_unit_id,029-0004,5,4,0.8,1
30,biological_unit_id,029-0004,5,3,0.6,1
5,biological_unit_id,029-0005,5,5,1.0,1
7,biological_unit_id,029-0005,5,5,1.0,1
10,biological_unit_id,029-0005,5,5,1.0,1
12,biological_unit_id,029-0005,5,5,1.0,1
15,biological_unit_id,029-0005,5,5,1.0,1
20,biological_unit_id,029-0005,5,5,1.0,1
25,biological_unit_id,029-0005,5,4,0.8,1
30,biological_unit_id,029-0005,5,4,0.8,1
5,clinical_group,Early,305,305,1.0,61
7,clinical_group,Early,305,298,0.9770491803278688,61
10,clinical_group,Early,305,272,0.8918032786885246,61
12,clinical_group,Early,305,252,0.8262295081967214,61
15,clinical_group,Early,305,224,0.7344262295081967,57
20,clinical_group,Early,305,184,0.6032786885245902,49
25,clinical_group,Early,305,154,0.5049180327868853,43
30,clinical_group,Early,305,102,0.3344262295081967,39
5,clinical_group,Healthy,400,400,1.0,80
7,clinical_group,Healthy,400,400,1.0,80
10,clinical_group,Healthy,400,394,0.985,80
12,clinical_group,Healthy,400,387,0.9675,80
15,clinical_group,Healthy,400,363,0.9075,80
20,clinical_group,Healthy,400,322,0.805,80
25,clinical_group,Healthy,400,272,0.68,79
30,clinical_group,Healthy,400,172,0.43,71
5,particle,SP-003,141,141,1.0,141
7,particle,SP-003,141,141,1.0,141
10,particle,SP-003,141,141,1.0,141
12,particle,SP-003,141,138,0.9787234042553191,138
15,particle,SP-003,141,136,0.9645390070921985,136
20,particle,SP-003,141,129,0.9148936170212766,129
25,particle,SP-003,141,121,0.8581560283687943,121
30,particle,SP-003,141,109,0.7730496453900709,109
5,particle,SP-006,141,141,1.0,141
7,particle,SP-006,141,140,0.9929078014184397,140
10,particle,SP-006,141,139,0.9858156028368794,139
12,particle,SP-006,141,138,0.9787234042553191,138
15,particle,SP-006,141,132,0.9361702127659575,132
20,particle,SP-006,141,125,0.8865248226950354,125
25,particle,SP-006,141,113,0.8014184397163121,113
30,particle,SP-006,141,87,0.6170212765957447,87
5,particle,SP-007,141,141,1.0,141
7,particle,SP-007,141,141,1.0,141
10,particle,SP-007,141,136,0.9645390070921985,136
12,particle,SP-007,141,132,0.9361702127659575,132
15,particle,SP-007,141,126,0.8936170212765957,126
20,particle,SP-007,141,119,0.8439716312056738,119
25,particle,SP-007,141,94,0.6666666666666666,94
30,particle,SP-007,141,43,0.3049645390070922,43
5,particle,SP-333,141,141,1.0,141
7,particle,SP-333,141,139,0.9858156028368794,139
10,particle,SP-333,141,121,0.8581560283687943,121
12,particle,SP-333,141,107,0.7588652482269503,107
15,particle,SP-333,141,82,0.5815602836879432,82
20,particle,SP-333,141,32,0.22695035460992907,32
25,particle,SP-333,141,13,0.09219858156028368,13
30,particle,SP-333,141,5,0.03546099290780142,5
5,particle,SP-339,141,141,1.0,141
7,particle,SP-339,141,137,0.9716312056737588,137
10,particle,SP-339,141,129,0.9148936170212766,129
12,particle,SP-339,141,124,0.8794326241134752,124
15,particle,SP-339,141,111,0.7872340425531915,111
20,particle,SP-339,141,101,0.7163120567375887,101
25,particle,SP-339,141,85,0.6028368794326241,85
30,particle,SP-339,141,30,0.2127659574468085,30
