family,hypothesis_id,outer_fold_id,raw_p,holm_adjusted_p,claim_status
T197_outer_fold_negative_control,T197_OUTER_01_full_primary_spearman,T197_OUTER_01,0.0933852140077821,0.1867704280155642,DESCRIPTIVE_EXPLORATORY_ONLY
T197_outer_fold_negative_control,T197_OUTER_02_full_primary_spearman,T197_OUTER_02,0.0038910505836575876,0.011673151750972763,DESCRIPTIVE_EXPLORATORY_ONLY
T197_outer_fold_negative_control,T197_OUTER_03_full_primary_spearman,T197_OUTER_03,0.2840466926070039,0.2840466926070039,DESCRIPTIVE_EXPLORATORY_ONLY
